beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
105_810,"Mickey's","Miller Brewing Co.","/beer/profile/105/810/","American Malt Liquor",59,"awful",1,121,70,"okay",321,2.48,31.45,10,136,0,"Wisconsin,United States",5.60,"Year-round"
257_718,"Steel Reserve 211 (High Gravity)","Steel Brewing Company","/beer/profile/257/718/","American Malt Liquor",57,"awful",1,038,83,"good",510,2.36,37.29,10,105,0,"California,United States",8.10,"Year-round"
105_3350,"Olde English 800","Miller Brewing Co.","/beer/profile/105/3350/","American Malt Liquor",51,"awful",912,44,"awful",303,2.03,40.39,14,101,0,"Wisconsin,United States",5.90,"Year-round"
447_1334,"Colt 45 Malt Liquor","Pabst Brewing Company","/beer/profile/447/1334/","American Malt Liquor",54,"awful",767,64,"poor",252,2.22,34.23,9,86,0,"California,United States",5.61,"Year-round"
29_82948,"Bud Light Lime-A-Rita","Anheuser-Busch","/beer/profile/29/82948/","American Malt Liquor",52,"awful",599,-,"no score",65,2.1,38.1,5,126,0,"Missouri,United States",8.00,"Year-round"
433_3829,"Molson XXX","Molson Coors Canada","/beer/profile/433/3829/","American Malt Liquor",59,"awful",496,56,"awful",220,2.47,26.72,6,48,0,"Ontario,Canada",7.30,"Year-round"
29_66,"King Cobra Premium Malt Liquor","Anheuser-Busch","/beer/profile/29/66/","American Malt Liquor",50,"awful",460,54,"awful",176,2,38,7,43,0,"Missouri,United States",6.00,"Year-round"
29_91814,"Bud Light Lime Straw-Ber-Rita","Anheuser-Busch","/beer/profile/29/91814/","American Malt Liquor",56,"awful",382,-,"no score",59,2.26,38.5,6,87,1,"Missouri,United States",8.00,"Year-round"
29_25007,"Hurricane High Gravity Malt Liquor","Anheuser-Busch","/beer/profile/29/25007/","American Malt Liquor",58,"awful",281,81,"good",155,2.4,34.58,4,20,0,"Missouri,United States",8.10,"Year-round"
29_2186,"Hurricane Malt Liquor","Anheuser-Busch","/beer/profile/29/2186/","American Malt Liquor",51,"awful",209,-,"no score",76,1.98,38.38,8,21,0,"Missouri,United States",5.90,"Year-round"
29_73223,"Natty Daddy","Anheuser-Busch","/beer/profile/29/73223/","American Malt Liquor",59,"awful",198,65,"poor",82,2.4,37.92,7,26,0,"Missouri,United States",8.00,"Year-round"
105_809,"Magnum","Miller Brewing Co.","/beer/profile/105/809/","American Malt Liquor",51,"awful",172,42,"awful",60,1.97,39.59,2,22,0,"Wisconsin,United States",5.60,"Year-round"
289_798,"St. Ides High Gravity Malt Liquor","Saint Ides Brewing Company","/beer/profile/289/798/","American Malt Liquor",54,"awful",167,63,"poor",73,2.14,35.98,9,18,0,"Texas,United States",8.20,"Year-round"
106_3160,"Schlitz O.M.L. (Malt Liquor)","JOS. Schlitz Brewing Co. (Pabst)","/beer/profile/106/3160/","American Malt Liquor",63,"poor",164,-,"no score",93,2.59,31.66,7,14,0,"Illinois,United States",5.90,"Year-round"
29_110748,"Bud Light Lime Mang-o-Rita","Anheuser-Busch","/beer/profile/29/110748/","American Malt Liquor",60,"poor",132,-,"no score",27,2.41,30.71,0,20,0,"Missouri,United States",8.00,"Year-round"
105_4546,"Olde English 800 High Gravity","Miller Brewing Co.","/beer/profile/105/4546/","American Malt Liquor",55,"awful",127,-,"no score",51,2.18,34.4,10,8,0,"Wisconsin,United States",8.00,"Year-round"
302_63623,"Dog Bite High Gravity Lager","Genesee Brewing Co. / Dundee Brewing Co.","/beer/profile/302/63623/","American Malt Liquor",56,"awful",117,-,"no score",59,2.18,41.28,0,6,0,"New York,United States",8.00,"Year-round"
3081_7357,"Haywards 5000 Super Premium Beer","Shaw Wallace & Company Ltd.","/beer/profile/3081/7357/","American Malt Liquor",66,"poor",112,-,"no score",61,2.75,24.73,1,10,0,"India",7.00,"Year-round"
355_77013,"Red Horse Beer","San Miguel Brewery Inc.","/beer/profile/355/77013/","American Malt Liquor",66,"poor",108,-,"no score",27,2.74,26.64,0,11,0,"Philippines",8.00,"Year-round"
