beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
9897_18975,"Oro De Calabaza","Jolly Pumpkin Artisan Ales","/beer/profile/9897/18975/","Bière de Garde",92,"outstanding",1,523,-,"no score",683,4.12,9.95,124,172,11,"Michigan,United States",8.00,"Year-round"
689_2961,"Domaine DuPage French Style Country Ale","Two Brothers Brewing Company","/beer/profile/689/2961/","Bière de Garde",86,"very good",1,289,90,"outstanding",495,3.81,12.34,38,148,1,"Illinois,United States",5.90,"Rotating"
42_84831,"Scythe & Sickle","Brewery Ommegang","/beer/profile/42/84831/","Bière de Garde",87,"very good",1,070,-,"no score",234,3.86,10.1,35,106,0,"New York,United States",5.80,"Fall"
2958_30955,"Abbaye De Saint Bon-Chien","BFM (Brasserie des Franches-Montagnes)","/beer/profile/2958/30955/","Bière de Garde",96,"world-class",881,-,"no score",258,4.32,10.42,109,178,12,"Switzerland",11.00,"Rotating"
192_51300,"Lips Of Faith - Biere De Mars","New Belgium Brewing","/beer/profile/192/51300/","Bière de Garde",83,"good",746,84,"good",407,3.65,13.42,41,39,1,"Colorado,United States",6.20,"Spring"
18149_37198,"Gift Of The Magi","The Lost Abbey","/beer/profile/18149/37198/","Bière de Garde",86,"very good",672,-,"no score",302,3.81,11.81,52,106,6,"California,United States",12.00,"Fall"
18149_30423,"Avant Garde","The Lost Abbey","/beer/profile/18149/30423/","Bière de Garde",85,"very good",645,-,"no score",336,3.79,9.76,33,49,3,"California,United States",7.00,"Year-round"
9897_27545,"Fuego Del Otono, Autumn Fire","Jolly Pumpkin Artisan Ales","/beer/profile/9897/27545/","Bière de Garde",90,"outstanding",612,-,"no score",231,4.05,9.88,60,68,5,"Michigan,United States",6.10,"Fall"
863_17442,"Perdition","Russian River Brewing Company","/beer/profile/863/17442/","Bière de Garde",89,"very good",536,-,"no score",182,3.96,10.86,278,23,0,"California,United States",6.10,"Year-round"
9897_25142,"Bière De Mars","Jolly Pumpkin Artisan Ales","/beer/profile/9897/25142/","Bière de Garde",93,"outstanding",530,-,"no score",205,4.16,8.89,100,79,11,"Michigan,United States",7.00,"Spring"
22511_77351,"Biere De Norma","Hill Farmstead Brewery","/beer/profile/22511/77351/","Bière de Garde",97,"world-class",458,-,"no score",53,4.41,7.48,354,104,16,"Vermont,United States",7.00,"Rotating"
260_1308,"3 Monts Flanders Golden Ale","Brasserie De Saint-Sylvestre","/beer/profile/260/1308/","Bière de Garde",88,"very good",432,99,"world-class",272,3.94,13.45,40,30,0,"France",8.50,"Year-round"
