beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
590_1963,"Spotted Cow","New Glarus Brewing Company","/beer/profile/590/1963/","Cream Ale",84,"good",2,931,80,"good",737,3.73,13.67,212,526,13,"Wisconsin,United States",4.80,"Year-round"
10607_22193,"Sweet Action","Sixpoint Brewery","/beer/profile/10607/22193/","Cream Ale",88,"very good",1,757,98,"world-class",493,3.9,12.82,152,246,3,"New York,United States",5.20,"Year-round"
193_23506,"Summer Solstice","Anderson Valley Brewing Company","/beer/profile/193/23506/","Cream Ale",83,"good",1,331,85,"very good",460,3.67,15.53,51,122,1,"California,United States",5.00,"Summer"
302_1376,"Genesee Cream Ale","Genesee Brewing Co. / Dundee Brewing Co.","/beer/profile/302/1376/","Cream Ale",70,"okay",1,179,75,"okay",513,3,20,19,101,0,"New York,United States",5.10,"Year-round"
203_2635,"Wexford Irish Cream Ale","Greene King / Morland Brewery","/beer/profile/203/2635/","Cream Ale",77,"okay",573,76,"okay",344,3.35,16.72,17,38,0,"United Kingdom (England)",5.00,"Year-round"
2372_9777,"Terrapin Golden Ale","Terrapin Beer Company","/beer/profile/2372/9777/","Cream Ale",79,"okay",401,84,"good",207,3.45,13.91,19,40,0,"Georgia,United States",5.00,"Year-round"
26817_108008,"Regular Coffee","Carton Brewing Company","/beer/profile/26817/108008/","Cream Ale",94,"outstanding",398,91,"outstanding",63,4.24,10.14,175,83,7,"New Jersey,United States",12.00,"Rotating"
20672_52194,"Sunlight Cream Ale","Sun King Brewing Company","/beer/profile/20672/52194/","Cream Ale",80,"good",351,84,"good",84,3.51,18.52,26,47,1,"Indiana,United States",5.30,"Year-round"
431_1298,"Little Kings Cream Ale","Hudepohl-Schoenling Brewing Co.","/beer/profile/431/1298/","Cream Ale",71,"okay",318,80,"good",165,3.04,20.72,15,22,0,"Ohio,United States",5.50,"Year-round"
696_9801,"Thomas Hooker Blonde Ale","Thomas Hooker Brewing Company","/beer/profile/696/9801/","Cream Ale",78,"okay",229,78,"okay",133,3.41,14.37,7,17,0,"Connecticut,United States",4.60,"Year-round"
11036_75382,"Carolina Blonde","Foothills Brewing Company","/beer/profile/11036/75382/","Cream Ale",73,"okay",227,-,"no score",36,3.13,15.65,4,27,0,"North Carolina,United States",4.30,"Year-round"
213_78605,"Narragansett Cream Ale","Narragansett Brewing Co.","/beer/profile/213/78605/","Cream Ale",80,"good",204,87,"very good",63,3.51,14.53,22,21,0,"Rhode Island,United States",5.00,"Year-round"
754_53416,"Derailed Black Cherry Ale","Erie Brewing Co.","/beer/profile/754/53416/","Cream Ale",73,"okay",189,-,"no score",74,3.14,20.06,5,10,0,"Pennsylvania,United States",5.00,"Year-round"
27077_81302,"Caramel Cream  Ale","Due South Brewing Co.","/beer/profile/27077/81302/","Cream Ale",82,"good",187,-,"no score",21,3.62,14.36,6,39,0,"Florida,United States",5.00,"Rotating"
22610_87942,"Cali Creamin' Vanilla Cream Ale","Mother Earth Brew Co.","/beer/profile/22610/87942/","Cream Ale",87,"very good",185,-,"no score",24,3.88,14.18,26,72,1,"California,United States",5.20,"Rotating"
415_27397,"Sleeman Cream Ale (64*)","Sleeman Breweries Ltd.","/beer/profile/415/27397/","Cream Ale",67,"poor",181,72,"okay",130,2.83,19.08,3,9,0,"Ontario,Canada",5.00,"Year-round"
661_7994,"Muskoka Cream Ale","Muskoka Brewery","/beer/profile/661/7994/","Cream Ale",79,"okay",166,-,"no score",72,3.47,11.82,5,29,0,"Ontario,Canada",5.00,"Year-round"
17981_79229,"El Murciélago","Cigar City Brewing","/beer/profile/17981/79229/","Cream Ale",83,"good",161,-,"no score",32,3.66,15.03,17,20,0,"Florida,United States",9.50,"Rotating"
