beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
73_228,"Great Lakes Dortmunder Gold","Great Lakes Brewing Co.","/beer/profile/73/228/","Dortmunder / Export Lager",91,"outstanding",2,862,99,"world-class",1,048,4.07,11.55,161,396,5,"Ohio,United States",5.80,"Year-round"
26_50443,"Jinx Proof","3 Floyds Brewing Co.","/beer/profile/26/50443/","Dortmunder / Export Lager",82,"good",1,039,-,"no score",176,3.63,12.67,44,152,2,"Indiana,United States",5.10,"Year-round"
39_133,"Ayinger Jahrhundert Bier","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","/beer/profile/39/133/","Dortmunder / Export Lager",89,"very good",828,91,"outstanding",478,3.95,10.89,45,39,0,"Germany",5.50,"Year-round"
726_2831,"DAB Original","Dortmunder Actien Brauerei / DAB","/beer/profile/726/2831/","Dortmunder / Export Lager",75,"okay",552,69,"poor",337,3.24,16.05,10,34,0,"Germany",5.00,"Year-round"
689_5260,"Dog Days Dortmunder Style Lager","Two Brothers Brewing Company","/beer/profile/689/5260/","Dortmunder / Export Lager",80,"good",383,-,"no score",147,3.52,13.92,11,26,0,"Illinois,United States",5.10,"Summer"
401_4695,"Baltika #7 Export","Baltika Breweries","/beer/profile/401/4695/","Dortmunder / Export Lager",71,"okay",347,70,"okay",176,3.04,18.42,4,37,0,"Russian Federation",5.40,"Year-round"
143_65383,"Shiner Dortmunder (Spring Ale)","Spoetzl Brewery / Shiner","/beer/profile/143/65383/","Dortmunder / Export Lager",78,"okay",269,84,"good",133,3.42,14.33,6,21,0,"Texas,United States",5.50,"Spring"
2147_5548,"33 Export","VBL Tien Giang Limited (Fosters)","/beer/profile/2147/5548/","Dortmunder / Export Lager",66,"poor",237,79,"okay",135,2.79,20.79,4,8,0,"Viet Nam",4.50,"Year-round"
402_1189,"Dominion Lager","Old Dominion Brewing Company","/beer/profile/402/1189/","Dortmunder / Export Lager",81,"good",233,85,"very good",144,3.59,13.09,15,11,0,"Delaware,United States",5.30,"Year-round"
73_42571,"Great Lakes Imperial Dortmunder","Great Lakes Brewing Co.","/beer/profile/73/42571/","Dortmunder / Export Lager",87,"very good",214,-,"no score",168,3.9,11.79,39,7,0,"Ohio,United States",7.50,"Rotating"
