beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
252_808,"Weihenstephaner Hefeweissbier Dunkel","Bayerische Staatsbrauerei Weihenstephan","/beer/profile/252/808/","Dunkelweizen",95,"world-class",2,529,100,"world-class",1,023,4.25,10.35,222,202,1,"Germany",5.30,"Year-round"
142_924,"Franziskaner Hefe-Weisse Dunkel","Spaten-Franziskaner-Bräu","/beer/profile/142/924/","Dunkelweizen",86,"very good",1,544,83,"good",797,3.84,12.24,53,149,0,"Germany",5.00,"Year-round"
143_45591,"Shiner Holiday Cheer","Spoetzl Brewery / Shiner","/beer/profile/143/45591/","Dunkelweizen",81,"good",1,355,82,"good",380,3.56,17.42,35,320,0,"Texas,United States",5.40,"Winter"
703_2041,"Erdinger Weissbier Dunkel","Erdinger Weissbräu","/beer/profile/703/2041/","Dunkelweizen",85,"very good",1,130,89,"very good",583,3.75,12.8,36,125,0,"Germany",5.30,"Year-round"
39_135,"Ayinger Ur-Weisse","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","/beer/profile/39/135/","Dunkelweizen",91,"outstanding",989,90,"outstanding",537,4.08,10.29,64,63,0,"Germany",5.80,"Year-round"
35_38366,"Samuel Adams Dunkelweizen","Boston Beer Company (Samuel Adams)","/beer/profile/35/38366/","Dunkelweizen",79,"okay",827,77,"okay",367,3.48,14.94,24,28,0,"Massachusetts,United States",5.10,"Rotating"
76_666,"Hacker-Pschorr Dunkel Weisse (Weisse Dark)","Hacker-Pschorr Bräu GmbH","/beer/profile/76/666/","Dunkelweizen",89,"very good",465,95,"world-class",275,3.98,11.81,57,16,0,"Germany",5.30,"Year-round"
176_616,"Julius Echter Hefe-Weissbier Dunkel","Würzburger Hofbräu AG","/beer/profile/176/616/","Dunkelweizen",86,"very good",387,89,"very good",245,3.81,11.55,11,21,0,"Germany",4.90,"Year-round"
10707_39924,"Josephs Brau Dunkelweizen","Trader Joe's Brewing Company","/beer/profile/10707/39924/","Dunkelweizen",80,"good",325,-,"no score",173,3.5,15.14,9,21,0,"California,United States",5.20,"Year-round"
29_43929,"Michelob Dunkel Weisse","Anheuser-Busch","/beer/profile/29/43929/","Dunkelweizen",79,"okay",320,-,"no score",237,3.47,18.16,8,4,0,"Missouri,United States",5.50,"Summer"
