beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
1146_1157,"Honker's Ale","Goose Island Beer Co.","/beer/profile/1146/1157/","English Bitter",83,"good",3,463,88,"very good",1,052,3.66,12.02,68,419,1,"Illinois,United States",4.30,"Year-round"
140_127724,"There And Back: English-Style Bitter (Beer Camp Across America)","Sierra Nevada Brewing Co.","/beer/profile/140/127724/","English Bitter",83,"good",1,251,-,"no score",185,3.66,10.38,9,81,1,"California,United States",5.60,"Limited (brewed once)"
13014_36672,"Bitter Brewer","Surly Brewing Company","/beer/profile/13014/36672/","English Bitter",89,"very good",1,000,90,"outstanding",428,3.99,11.03,228,72,4,"Minnesota,United States",4.00,"Spring"
28_648,"Anchor Small Beer","Anchor Brewing Company","/beer/profile/28/648/","English Bitter",72,"okay",448,70,"okay",325,3.13,17.25,17,13,0,"California,United States",3.30,"Year-round"
298_828,"Bluebird Bitter","Coniston Brewing Co. Ltd","/beer/profile/298/828/","English Bitter",87,"very good",397,94,"outstanding",280,3.86,12.95,26,11,0,"United Kingdom (England)",4.20,"Year-round"
132_2679,"Younger's Special Bitter","Rogue Ales","/beer/profile/132/2679/","English Bitter",88,"very good",358,97,"world-class",278,3.94,10.66,41,3,0,"Oregon,United States",4.80,"Year-round"
81_50670,"Newcastle Summer Ale","Heineken Nederland B.V.","/beer/profile/81/50670/","English Bitter",69,"poor",351,71,"okay",126,2.96,20.61,8,19,0,"Netherlands",4.40,"Summer"
556_2505,"City Steam The Naughty Nurse","City Steam Brewery Café","/beer/profile/556/2505/","English Bitter",80,"good",253,-,"no score",55,3.49,14.04,5,36,1,"Connecticut,United States",5.00,"Year-round"
203_1902,"Ruddles County","Greene King / Morland Brewery","/beer/profile/203/1902/","English Bitter",85,"very good",247,98,"world-class",180,3.75,14.13,9,9,0,"United Kingdom (England)",4.70,"Year-round"
689_56938,"Long Haul Session Ale","Two Brothers Brewing Company","/beer/profile/689/56938/","English Bitter",81,"good",214,-,"no score",83,3.59,11.98,2,8,0,"Illinois,United States",4.20,"Year-round"
345_4173,"Uncle Teddy's Bitter","Victory Brewing Company","/beer/profile/345/4173/","English Bitter",89,"very good",210,99,"world-class",81,3.96,13.89,27,4,0,"Pennsylvania,United States",4.00,"Rotating"
575_917,"Foster's Special Bitter","Foster's Group Limited","/beer/profile/575/917/","English Bitter",68,"poor",187,67,"poor",145,2.86,19.23,2,4,0,"Australia",5.00,"Year-round"
74_231,"Gritty McDuff's Best Bitter","Gritty McDuff's Brewing Company","/beer/profile/74/231/","English Bitter",82,"good",176,78,"okay",116,3.62,12.43,6,6,0,"Maine,United States",5.00,"Year-round"
2298_5785,"Hopback Summer Lightning","Hop Back Brewery plc","/beer/profile/2298/5785/","English Bitter",82,"good",170,-,"no score",150,3.62,15.75,12,0,0,"United Kingdom (England)",5.00,"Year-round"
62_14050,"Geary's Winter Ale","D.L. Geary Brewing Company","/beer/profile/62/14050/","English Bitter",79,"okay",165,72,"okay",119,3.45,12.46,3,5,0,"Maine,United States",6.00,"Winter"
203_36455,"Greene King IPA","Greene King / Morland Brewery","/beer/profile/203/36455/","English Bitter",73,"okay",154,-,"no score",67,3.15,17.78,2,11,0,"United Kingdom (England)",3.60,"Year-round"
