beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
96_297,"Heart Of Darkness","Magic Hat Brewing Company","/beer/profile/96/297/","English Stout",87,"very good",1,346,97,"world-class",325,3.88,12.37,79,127,2,"Vermont,United States",5.70,"Winter"
68_75364,"Pearl Necklace Oyster Stout","Flying Dog Brewery","/beer/profile/68/75364/","English Stout",83,"good",1,107,87,"very good",219,3.68,13.86,30,170,1,"Maryland,United States",5.50,"Year-round"
148_48194,"Belhaven Scottish Stout","Belhaven Brewery Company Ltd.","/beer/profile/148/48194/","English Stout",88,"very good",596,-,"no score",268,3.93,12.21,53,72,1,"United Kingdom (Scotland)",7.00,"Year-round"
10272_77595,"Innis & Gunn Irish Whiskey Aged Stout","Innis & Gunn","/beer/profile/10272/77595/","English Stout",86,"very good",534,-,"no score",136,3.8,13.68,35,78,0,"United Kingdom (Scotland)",7.40,"Rotating"
450_3318,"Love Stout","Yards Brewing Co.","/beer/profile/450/3318/","English Stout",86,"very good",428,-,"no score",163,3.8,12.89,21,76,0,"Pennsylvania,United States",5.00,"Winter"
118_5781,"Dragonhead Stout","Orkney Brewery","/beer/profile/118/5781/","English Stout",86,"very good",275,-,"no score",177,3.85,11.95,21,12,0,"United Kingdom (Scotland)",4.00,"Year-round"
637_70416,"Monk's Stout Dupont","Brasserie Dupont sprl","/beer/profile/637/70416/","English Stout",76,"okay",224,72,"okay",76,3.31,15.41,4,13,0,"Belgium",5.20,"Year-round"
450_78460,"Chocolate Love Stout","Yards Brewing Co.","/beer/profile/450/78460/","English Stout",86,"very good",184,-,"no score",38,3.82,13.87,12,38,2,"Pennsylvania,United States",6.90,"Rotating"
10272_102133,"Innis & Gunn Bourbon Stout","Innis & Gunn","/beer/profile/10272/102133/","English Stout",84,"good",180,-,"no score",51,3.72,15.05,7,32,1,"United Kingdom (Scotland)",7.40,"Rotating"
148_81614,"Black Scottish Stout","Belhaven Brewery Company Ltd.","/beer/profile/148/81614/","English Stout",82,"good",147,-,"no score",36,3.63,12.95,0,9,0,"United Kingdom (Scotland)",4.20,"Year-round"
160_6525,"Black Wych","Wychwood Brewery Company Ltd","/beer/profile/160/6525/","English Stout",84,"good",140,-,"no score",89,3.71,11.32,5,13,0,"United Kingdom (England)",5.00,"Year-round"
3052_7266,"Double Stout","Hook Norton Brewery Co. Ltd.","/beer/profile/3052/7266/","English Stout",88,"very good",137,83,"good",101,3.91,10.49,10,9,0,"United Kingdom (England)",4.80,"Winter"
24803_74414,"Descendant Dark Ale","Mystic Brewery","/beer/profile/24803/74414/","English Stout",84,"good",134,82,"good",42,3.71,11.59,7,25,4,"Massachusetts,United States",7.00,"Year-round"
1530_4092,"Dorothy Goodbody's Wholesome Stout","Wye Valley Brewery","/beer/profile/1530/4092/","English Stout",84,"good",130,90,"outstanding",102,3.71,11.86,12,3,0,"United Kingdom (England)",4.60,"Year-round"
60_178,"Strike Out Stout","Cooperstown Brewing Company","/beer/profile/60/178/","English Stout",80,"good",128,93,"outstanding",99,3.48,18.1,7,2,0,"New York,United States",4.60,"Year-round"
7944_43016,"Bad King John","Ridgeway Brewing","/beer/profile/7944/43016/","English Stout",84,"good",105,-,"no score",54,3.72,10.48,7,10,0,"United Kingdom (England)",6.00,"Year-round"
2298_5788,"Hopback Entire Stout","Hop Back Brewery plc","/beer/profile/2298/5788/","English Stout",84,"good",92,-,"no score",80,3.73,11.8,2,1,0,"United Kingdom (England)",4.50,"Year-round"
1533_9565,"O'Hanlon's The Original Ruby Stout","O'Hanlon Brewing Co. Ltd.","/beer/profile/1533/9565/","English Stout",82,"good",88,-,"no score",83,3.61,13.02,1,0,0,"United Kingdom (England)",4.50,"Year-round"
293_88019,"Bass Stout","Bass Brewers Limited","/beer/profile/293/88019/","English Stout",73,"okay",83,-,"no score",17,3.13,18.21,3,3,0,"United Kingdom (England)",4.20,"Year-round"
103_3657,"Blackheart Stout","Middle Ages Brewing Co., Ltd.","/beer/profile/103/3657/","English Stout",90,"outstanding",74,-,"no score",48,4.07,10.07,27,1,0,"New York,United States",6.60,"Year-round"
19866_56411,"Oyster Stout","Upright Brewing Company","/beer/profile/19866/56411/","English Stout",88,"very good",73,-,"no score",30,3.94,11.17,30,11,1,"Oregon,United States",6.25,"Rotating"
24247_102910,"The Mayan (Chocolate Chipotle Stout)","Ilkley Brewery Co.","/beer/profile/24247/102910/","English Stout",87,"very good",69,-,"no score",21,3.9,9.23,2,14,0,"United Kingdom (England)",6.50,"Rotating"
4049_46295,"Maple Stout","Cannery Brewing Company","/beer/profile/4049/46295/","English Stout",86,"very good",68,-,"no score",44,3.85,9.87,14,4,0,"British Columbia,Canada",5.50,"Fall"
5062_10711,"Chocolate","Meantime Brewing Company Limited","/beer/profile/5062/10711/","English Stout",83,"good",66,-,"no score",51,3.65,13.97,7,6,0,"United Kingdom (England)",6.50,"Year-round"
1879_25639,"Martello Stout","Garrison Brewing Company","/beer/profile/1879/25639/","English Stout",87,"very good",61,-,"no score",41,3.88,8.51,3,3,0,"Nova Scotia,Canada",4.80,"Winter"
