beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
209_752,"Guinness Foreign Extra Stout","Guinness Ltd.","/beer/profile/209/752/","Foreign / Export Stout",91,"outstanding",2,092,96,"world-class",822,4.06,11.82,152,192,1,"Ireland",7.50,"Year-round"
389_1115,"Lion Stout","Ceylon / Lion Brewery Limited","/beer/profile/389/1115/","Foreign / Export Stout",88,"very good",1,474,83,"good",872,3.91,12.02,56,75,0,"Sri Lanka",8.80,"Year-round"
199_69792,"Indra Kunindra","Ballast Point Brewing Company","/beer/profile/199/69792/","Foreign / Export Stout",83,"good",868,-,"no score",234,3.68,19.84,43,129,7,"California,United States",7.00,"Rotating"
491_2131,"Coopers Best Extra Stout","Coopers Brewery Limited","/beer/profile/491/2131/","Foreign / Export Stout",86,"very good",607,92,"outstanding",373,3.83,12.01,28,49,0,"Australia",6.30,"Year-round"
418_54076,"Fade To Black (Volume 1 - Foreign Export Stout)","Left Hand Brewing Company","/beer/profile/418/54076/","Foreign / Export Stout",91,"outstanding",593,90,"outstanding",306,4.07,9.34,41,108,2,"Colorado,United States",8.50,"Fall"
7944_20905,"Lump Of Coal","Ridgeway Brewing","/beer/profile/7944/20905/","Foreign / Export Stout",79,"okay",546,-,"no score",348,3.45,15.07,7,43,0,"United Kingdom (England)",8.00,"Winter"
365_966,"Pike XXXXX Stout","Pike Pub & Brewery","/beer/profile/365/966/","Foreign / Export Stout",89,"very good",546,-,"no score",291,4,11.25,34,43,2,"Washington,United States",7.00,"Year-round"
201_16509,"De Dolle Extra Export Stout","Brouwerij De Dolle Brouwers","/beer/profile/201/16509/","Foreign / Export Stout",87,"very good",530,-,"no score",377,3.89,12.6,12,25,0,"Belgium",9.00,"Year-round"
18371_54019,"Babayaga","Pretty Things Beer & Ale Project","/beer/profile/18371/54019/","Foreign / Export Stout",88,"very good",437,90,"outstanding",190,3.94,10.15,59,48,1,"Massachusetts,United States",7.00,"Winter"
221_747,"Dragon Stout","Desnoes & Geddes Limited","/beer/profile/221/747/","Foreign / Export Stout",79,"okay",412,90,"outstanding",230,3.49,17.19,15,23,0,"Jamaica",7.50,"Year-round"
583_35157,"Schlafly Irish-Style Extra Stout","The Schlafly Tap Room","/beer/profile/583/35157/","Foreign / Export Stout",88,"very good",407,82,"good",155,3.92,10.46,23,49,0,"Missouri,United States",8.00,"Winter"
195_12804,"Troubadour Obscura","Brouwerij De Musketiers","/beer/profile/195/12804/","Foreign / Export Stout",87,"very good",384,84,"good",222,3.88,12.11,13,14,0,"Belgium",8.20,"Year-round"
179_632,"Zonker Stout","Snake River Brewing Company & Brewpub","/beer/profile/179/632/","Foreign / Export Stout",93,"outstanding",350,100,"world-class",221,4.17,9.11,128,23,1,"Wyoming,United States",6.00,"Year-round"
1304_3704,"Tsunami Stout","Pelican Pub & Brewery","/beer/profile/1304/3704/","Foreign / Export Stout",90,"outstanding",308,-,"no score",140,4.04,8.42,56,29,1,"Oregon,United States",7.00,"Year-round"
23922_87450,"Phantom Punch Winter Stout","Baxter Brewing Co.","/beer/profile/23922/87450/","Foreign / Export Stout",85,"very good",255,-,"no score",53,3.76,13.3,11,31,0,"Maine,United States",6.80,"Winter"
209_10848,"Guinness Special Export Stout (John Martin - Belgium)","Guinness Ltd.","/beer/profile/209/10848/","Foreign / Export Stout",93,"outstanding",254,-,"no score",157,4.19,10.02,116,29,1,"Ireland",8.00,"Year-round"
923_88467,"Hibernal Vinifera Stout","Ska Brewing Co.","/beer/profile/923/88467/","Foreign / Export Stout",88,"very good",246,90,"outstanding",55,3.92,9.18,6,24,2,"Colorado,United States",8.00,"Winter"
339_53950,"Exit 1","Flying Fish Brewing Company","/beer/profile/339/53950/","Foreign / Export Stout",88,"very good",245,89,"very good",107,3.91,9.46,16,33,2,"New Jersey,United States",7.00,"Rotating"
2980_16046,"Black Bear XX Stout","Alameda Brewhouse","/beer/profile/2980/16046/","Foreign / Export Stout",88,"very good",214,90,"outstanding",100,3.94,11.17,12,14,0,"Oregon,United States",7.00,"Year-round"
261_768,"Captain Swain's Extra Stout","Cisco Brewers Inc.","/beer/profile/261/768/","Foreign / Export Stout",87,"very good",213,92,"outstanding",151,3.88,12.63,19,8,0,"Massachusetts,United States",8.00,"Year-round"
812_2520,"San Quentin Breakout Stout","Marin Brewing Company","/beer/profile/812/2520/","Foreign / Export Stout",86,"very good",181,-,"no score",119,3.85,12.21,9,11,0,"California,United States",7.00,"Year-round"
