beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
209_29602,"Smithwick's Imported Premium Irish Ale","Guinness Ltd.","/beer/profile/209/29602/","Irish Red Ale",79,"okay",2,463,-,"no score",758,3.45,14.78,37,276,0,"Ireland",4.50,"Year-round"
35_38365,"Samuel Adams Irish Red","Boston Beer Company (Samuel Adams)","/beer/profile/35/38365/","Irish Red Ale",79,"okay",2,368,70,"okay",975,3.46,14.74,35,182,0,"Massachusetts,United States",5.80,"Year-round"
73_5096,"Great Lakes Conway's Irish Ale","Great Lakes Brewing Co.","/beer/profile/73/5096/","Irish Red Ale",85,"very good",1,321,80,"good",481,3.79,11.61,56,161,2,"Ohio,United States",6.50,"Winter"
26_16520,"Brian Boru Old Irish Red","3 Floyds Brewing Co.","/beer/profile/26/16520/","Irish Red Ale",90,"outstanding",971,-,"no score",459,4.04,10.89,188,65,3,"Indiana,United States",5.50,"Spring"
81_71106,"Newcastle Werewolf","Heineken Nederland B.V.","/beer/profile/81/71106/","Irish Red Ale",74,"okay",942,-,"no score",192,3.19,18.81,33,131,0,"Netherlands",4.50,"Fall"
98_47298,"Harpoon Celtic Ale","Harpoon Brewery & Beer Hall","/beer/profile/98/47298/","Irish Red Ale",80,"good",742,89,"very good",363,3.51,14.25,21,56,0,"Massachusetts,United States",5.40,"Winter"
240_913,"Murphy's Irish Red","Murphy Brewery Ireland Limited","/beer/profile/240/913/","Irish Red Ale",74,"okay",629,-,"no score",326,3.21,16.51,7,49,0,"Ireland",5.00,"Year-round"
665_1822,"Smithwick's Ale","Smithwick's Brewery / Irish Ale Breweries Ltd","/beer/profile/665/1822/","Irish Red Ale",77,"okay",616,69,"poor",304,3.37,16.32,12,44,0,"Ireland",4.50,"Year-round"
209_52083,"Kilkenny Irish Cream Ale","Guinness Ltd.","/beer/profile/209/52083/","Irish Red Ale",78,"okay",567,-,"no score",149,3.43,17.2,38,75,0,"Ireland",4.30,"Year-round"
423_3279,"Irish Ale","Boulevard Brewing Co.","/beer/profile/423/3279/","Irish Red Ale",83,"good",551,-,"no score",238,3.66,12.02,20,45,0,"Missouri,United States",5.80,"Winter"
4146_6428,"Red Trolley Ale","Karl Strauss Brewing Company","/beer/profile/4146/6428/","Irish Red Ale",80,"good",440,-,"no score",130,3.54,14.41,21,73,0,"California,United States",5.80,"Year-round"
35_48246,"Samuel Adams Brick Red","Boston Beer Company (Samuel Adams)","/beer/profile/35/48246/","Irish Red Ale",84,"good",394,-,"no score",67,3.7,14.59,24,55,0,"Massachusetts,United States",5.20,"Rotating"
9629_41697,"Short's The Magician","Short's Brewing Company","/beer/profile/9629/41697/","Irish Red Ale",79,"okay",375,-,"no score",171,3.46,15.61,8,33,1,"Michigan,United States",6.00,"Winter"
646_22181,"O'Hara's Irish Red","Carlow Brewing Company","/beer/profile/646/22181/","Irish Red Ale",81,"good",364,-,"no score",195,3.55,13.24,16,27,0,"Ireland",4.30,"Year-round"
