beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
29_5727,"O'Doul's","Anheuser-Busch","/beer/profile/29/5727/","Low Alcohol Beer",50,"awful",471,77,"okay",156,1.98,37.88,7,34,0,"Missouri,United States",0.50,"Year-round"
29_5728,"O'Doul's Amber","Anheuser-Busch","/beer/profile/29/5728/","Low Alcohol Beer",55,"awful",212,34,"awful",116,2.19,31.05,2,9,0,"Missouri,United States",0.50,"Year-round"
209_5333,"Kaliber","Guinness Ltd.","/beer/profile/209/5333/","Low Alcohol Beer",60,"poor",184,83,"good",96,2.46,32.52,5,11,0,"Ireland",0.50,"Year-round"
105_5747,"Sharp's","Miller Brewing Co.","/beer/profile/105/5747/","Low Alcohol Beer",45,"awful",131,36,"awful",42,1.62,44.44,2,10,0,"Wisconsin,United States",0.40,"Year-round"
224_826,"St. Pauli N. A.","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","/beer/profile/224/826/","Low Alcohol Beer",57,"awful",120,46,"awful",68,2.26,34.07,1,5,0,"Germany",0.50,"Year-round"
81_5636,"Buckler","Heineken Nederland B.V.","/beer/profile/81/5636/","Low Alcohol Beer",61,"poor",116,57,"awful",66,2.49,30.92,3,8,0,"Netherlands",ABV ,"Year-round"
290_6906,"Clausthaler Premium","Binding-Brauerei AG","/beer/profile/290/6906/","Low Alcohol Beer",68,"poor",94,63,"poor",62,2.82,26.6,5,5,0,"Germany",0.45,"Year-round"
703_7211,"Erdinger Weissbier Alkoholfrei","Erdinger Weissbräu","/beer/profile/703/7211/","Low Alcohol Beer",68,"poor",84,-,"no score",39,2.82,26.6,2,11,0,"Germany",0.50,"Year-round"
16315_53885,"Nanny State","BrewDog","/beer/profile/16315/53885/","Low Alcohol Beer",73,"okay",79,-,"no score",39,3.1,22.58,16,6,0,"United Kingdom (Scotland)",0.50,"Rotating"
306_8588,"Coors Non-Alcoholic","Coors Brewing Company","/beer/profile/306/8588/","Low Alcohol Beer",56,"awful",78,-,"no score",40,2.13,38.97,3,5,0,"Colorado,United States",0.50,"Year-round"
32_11093,"Beck's Alkoholfrei","Brauerei Beck & Co.","/beer/profile/32/11093/","Low Alcohol Beer",60,"poor",71,-,"no score",42,2.37,35.02,0,3,0,"Germany",0.30,"Year-round"
29_13733,"Busch NA","Anheuser-Busch","/beer/profile/29/13733/","Low Alcohol Beer",56,"awful",71,-,"no score",42,2.11,36.97,0,2,0,"Missouri,United States",0.50,"Year-round"
290_842,"Clausthaler Golden Amber","Binding-Brauerei AG","/beer/profile/290/842/","Low Alcohol Beer",75,"okay",65,79,"okay",48,3.21,17.45,15,3,0,"Germany",0.30,"Year-round"
360_2140,"Warsteiner Premium Fresh","Warsteiner Brauerei","/beer/profile/360/2140/","Low Alcohol Beer",62,"poor",58,-,"no score",34,2.42,30.58,2,3,0,"Germany",0.50,"Year-round"
447_5719,"Old Milwaukee Non Alcoholic","Pabst Brewing Company","/beer/profile/447/5719/","Low Alcohol Beer",61,"poor",48,-,"no score",38,2.34,28.63,0,4,0,"California,United States",0.40,"Year-round"
613_5415,"Bitburger Drive","Bitburger Brauerei","/beer/profile/613/5415/","Low Alcohol Beer",69,"poor",40,-,"no score",26,2.8,23.57,4,5,0,"Germany",0.50,"Year-round"
290_35553,"Clausthaler Classic Alkoholfrei","Binding-Brauerei AG","/beer/profile/290/35553/","Low Alcohol Beer",70,"okay",39,-,"no score",20,2.82,24.47,2,4,0,"Germany",ABV ,"Year-round"
124_3766,"Paulaner Hefe-Weissbier Alkoholfrei","Paulaner Brauerei GmbH & Co. KG","/beer/profile/124/3766/","Low Alcohol Beer",75,"okay",35,-,"no score",8,3.16,21.84,3,9,0,"Germany",ABV ,"Year-round"
