beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
252_712,"Weihenstephaner Original","Bayerische Staatsbrauerei Weihenstephan","/beer/profile/252/712/","Munich Helles Lager",91,"outstanding",1,896,100,"world-class",813,4.06,12.56,130,195,0,"Germany",5.10,"Year-round"
4686_3062,"Hofbräu Original","Hofbräuhaus München","/beer/profile/4686/3062/","Munich Helles Lager",85,"very good",1,271,91,"outstanding",452,3.79,13.19,42,173,0,"Germany",5.10,"Year-round"
142_1944,"Spaten Münchner Hell (Premium Lager)","Spaten-Franziskaner-Bräu","/beer/profile/142/1944/","Munich Helles Lager",83,"good",1,231,92,"outstanding",582,3.68,14.13,44,127,0,"Germany",5.20,"Year-round"
13014_44531,"Hell","Surly Brewing Company","/beer/profile/13014/44531/","Munich Helles Lager",86,"very good",908,-,"no score",303,3.82,10.99,123,99,4,"Minnesota,United States",4.50,"Year-round"
124_388,"Paulaner Original Münchner","Paulaner Brauerei GmbH & Co. KG","/beer/profile/124/388/","Munich Helles Lager",84,"good",854,84,"good",422,3.72,12.37,32,78,0,"Germany",4.90,"Year-round"
345_1002,"Victory Helles Lager","Victory Brewing Company","/beer/profile/345/1002/","Munich Helles Lager",81,"good",758,82,"good",343,3.57,14.01,33,73,0,"Pennsylvania,United States",4.80,"Year-round"
95_280,"Löwenbräu Original","Löwenbräu AG","/beer/profile/95/280/","Munich Helles Lager",75,"okay",754,78,"okay",381,3.27,17.13,33,57,0,"Germany",5.20,"Year-round"
17981_73559,"Hotter Than Helles Lager","Cigar City Brewing","/beer/profile/17981/73559/","Munich Helles Lager",81,"good",680,-,"no score",99,3.59,12.81,26,90,6,"Florida,United States",5.00,"Rotating"
192_116586,"Summer Helles","New Belgium Brewing","/beer/profile/192/116586/","Munich Helles Lager",79,"okay",604,-,"no score",81,3.47,14.12,13,107,0,"Colorado,United States",5.00,"Summer"
263_29145,"Aecht Schlenkerla Helles Lagerbier","Brauerei Heller-Trum / Schlenkerla","/beer/profile/263/29145/","Munich Helles Lager",89,"very good",564,-,"no score",348,3.95,12.41,37,21,0,"Germany",4.30,"Rotating"
