beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
263_727,"Aecht Schlenkerla Rauchbier Märzen","Brauerei Heller-Trum / Schlenkerla","/beer/profile/263/727/","Rauchbier",91,"outstanding",1,957,97,"world-class",1,024,4.05,15.06,126,160,4,"Germany",5.40,"Year-round"
263_1324,"Aecht Schlenkerla Rauchbier Urbock","Brauerei Heller-Trum / Schlenkerla","/beer/profile/263/1324/","Rauchbier",92,"outstanding",1,189,93,"outstanding",660,4.13,12.59,90,67,0,"Germany",6.60,"Winter"
26520_71501,"Smoke & Dagger","Jack's Abby Brewing","/beer/profile/26520/71501/","Rauchbier",88,"very good",805,-,"no score",143,3.91,10.49,44,83,2,"Massachusetts,United States",5.80,"Year-round"
263_1018,"Aecht Schlenkerla Rauchbier Weizen","Brauerei Heller-Trum / Schlenkerla","/beer/profile/263/1018/","Rauchbier",88,"very good",650,90,"outstanding",396,3.91,14.07,30,35,0,"Germany",5.20,"Year-round"
35_71758,"Samuel Adams Bonfire Rauchbier","Boston Beer Company (Samuel Adams)","/beer/profile/35/71758/","Rauchbier",77,"okay",563,80,"good",235,3.35,23.58,21,24,0,"Massachusetts,United States",5.70,"Fall"
35_77231,"Cinder Bock","Boston Beer Company (Samuel Adams)","/beer/profile/35/77231/","Rauchbier",81,"good",455,79,"okay",164,3.57,17.65,21,35,0,"Massachusetts,United States",9.45,"Rotating"
6372_14625,"Z Lager","The Fort Collins Brewery","/beer/profile/6372/14625/","Rauchbier",80,"good",321,-,"no score",217,3.53,16.43,11,5,0,"Colorado,United States",5.40,"Year-round"
913_2960,"Spezial Rauchbier Lager","Brauerei Spezial","/beer/profile/913/2960/","Rauchbier",84,"good",282,-,"no score",233,3.7,13.51,9,3,0,"Germany",4.70,"Year-round"
26520_86211,"Fire In The Ham","Jack's Abby Brewing","/beer/profile/26520/86211/","Rauchbier",86,"very good",245,-,"no score",51,3.8,13.42,21,12,0,"Massachusetts,United States",5.40,"Rotating"
263_21704,"Aecht Schlenkerla Fastenbier","Brauerei Heller-Trum / Schlenkerla","/beer/profile/263/21704/","Rauchbier",94,"outstanding",225,95,"world-class",108,4.26,8.69,60,7,0,"Germany",5.50,"Spring"
