beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
132_87218,"Rogue Farms Roguenbier Rye","Rogue Ales","/beer/profile/132/87218/","Roggenbier",79,"okay",189,-,"no score",52,3.48,14.08,9,13,0,"Oregon,United States",5.50,"Rotating"
383_69904,"Live Oak Roggenbier","Live Oak Brewing Company","/beer/profile/383/69904/","Roggenbier",88,"very good",68,-,"no score",17,3.96,10.61,13,5,0,"Texas,United States",4.80,"Summer"
3912_99786,"Resurrection Roggenbier","Cameron's Brewing Co.","/beer/profile/3912/99786/","Roggenbier",80,"good",41,-,"no score",10,3.46,13.87,1,4,0,"Ontario,Canada",5.20,"Rotating"
29693_91596,"Roggenbier","Reuben's Brews","/beer/profile/29693/91596/","Roggenbier",83,"good",38,-,"no score",8,3.67,8.72,0,1,0,"Washington,United States",5.40,"Rotating"
4114_41378,"Schlägl Bio-Roggen","Stiftsbrauerei Schlägl","/beer/profile/4114/41378/","Roggenbier",82,"good",36,-,"no score",28,3.62,10.5,4,0,0,"Austria",4.90,"Year-round"
5749_97428,"Roggen","Apostelbräu","/beer/profile/5749/97428/","Roggenbier",83,"good",34,-,"no score",15,3.64,10.71,1,0,0,"Germany",5.30,"Year-round"
871_31052,"Thurn Und Taxis Roggen","Thurn Und Taxis Regensburg Gmbh Fürstliche Brauerei","/beer/profile/871/31052/","Roggenbier",86,"very good",33,-,"no score",21,3.84,9.64,11,1,0,"Germany",5.30,"Year-round"
610_62587,"Roggenbier","Bear Republic Brewing Co.","/beer/profile/610/62587/","Roggenbier",85,"very good",29,-,"no score",18,3.82,10.21,2,0,0,"California,United States",4.20,"Rotating"
3_85624,"Abita Select Roggen Weizen","Abita Brewing Co.","/beer/profile/3/85624/","Roggenbier",87,"very good",26,-,"no score",6,3.94,8.38,3,0,0,"Louisiana,United States",7.00,"Rotating"
12511_60401,"Störtebeker Roggen-Weizen","Störtebeker Braumanufaktur","/beer/profile/12511/60401/","Roggenbier",80,"good",25,-,"no score",11,3.46,16.76,0,2,0,"Germany",5.30,"Year-round"
7286_41672,"Schremser Roggen Bier","Brauerei Schrems","/beer/profile/7286/41672/","Roggenbier",84,"good",19,-,"no score",11,3.73,14.75,2,1,0,"Austria",5.20,"Year-round"
68_99950,"Roggen","Flying Dog Brewery","/beer/profile/68/99950/","Roggenbier",86,"very good",18,-,"no score",4,3.85,10.91,2,0,0,"Maryland,United States",5.70,"Rotating"
458_39072,"Roggenbier","Real Ale Brewing Company","/beer/profile/458/39072/","Roggenbier",84,"good",18,-,"no score",15,3.72,10.48,4,0,0,"Texas,United States",4.90,"Fall"
6045_38026,"Roggenbier","Iron Hill Brewery & Restaurant","/beer/profile/6045/38026/","Roggenbier",89,"very good",14,-,"no score",9,4.14,5.31,2,0,0,"United States",6.40,"Rotating"
30454_107604,"Norm Is A Son Of A Bitch","Spiteful Brewing","/beer/profile/30454/107604/","Roggenbier",85,"very good",13,-,"no score",1,3.81,10.24,1,0,0,"Illinois,United States",6.00,"Rotating"
