429_1309,"Alaskan Amber"
94_273,"Double Bag"
140_127727,"Alt Route: Altbier (Beer Camp Across America)"
94_3128,"Long Trail Ale"
119_434,"Otter Creek Copper Ale"
1923_24042,"Uerige Doppelsticke"
14400_47120,"Sleigh'r Dark Doüble Alt Ale"
1628_43341,"Southampton Altbier"
31678_94505,"Scurry"
8_25752,"Okto Festival Ale"
1923_16146,"Uerige Sticke"
31_80,"Organic Münster Alt"
19247_49474,"OMB Copper"
1923_6355,"Uerige Altbier"
642_2553,"Ad Astra Ale"
784_2850,"Headless Man Amber Alt"
9020_67505,"Gerst Amber"
624_22919,"Headwall Alt"
24880_69320,"Three Blind Mice"
143_64657,"Shiner Old-Time Alt"
417_1803,"Schell's Schmaltz's Alt"
27696_75920,"Alt-eration Ale"
23639_61873,"Ishmael"
938_3150,"Frankenheim Alt"
29377_82924,"Balt Altbier"
16843_45761,"Alt-Bier Ale"
506_2223,"Grolsch Amber Ale"
19127_67215,"Iron Works Alt"
16393_49451,"Mission Amber"
5316_45553,"Phil's Existential Alt (Brewer's Share)"
395_1121,"Altbier"
7713_21905,"Hövels Original"
4884_10414,"Schwelmer Alt"
1141_65671,"Rescousse"
9969_70860,"Gravel Road"
2418_6061,"Diebels Alt"
10574_67324,"Freigeist Hoppeditz"
19897_63892,"Secret Spot Winter Ale"
11056_56209,"Série Signature Sticke Alt"
1457_4459,"Arbor Brewing Olde Number 22 Alt Bier"
27032_75741,"Lighthouse Amber"
18858_49979,"Crooked Coast Altbier"
3268_60686,"Sticke It To The Man"
15435_53746,"Festivale"
689_35405,"Victor's MemoriAle Altbier"
455_84000,"Creemore Springs Collaboration Altbier"
52_51828,"Moby D"
23076_60453,"Little Red Cap"
9877_58295,"Über Alt"
16352_65222,"Evan Altmighty"
29_65,"Budweiser"
447_1331,"Pabst Blue Ribbon (PBR)"
75_232,"Corona Extra"
105_580,"Miller High Life"
221_689,"Red Stripe Jamaican Lager"
306_1276,"Coors"
174_567,"Rolling Rock Extra Pale"
57_1907,"Dos Equis Special Lager"
105_2280,"Miller Genuine Draft"
478_1371,"Labatt Blue"
75_1321,"Modelo Especial"
575_918,"Foster's Lager"
57_848,"Tecate"
75_2755,"Pacífico"
16098_34804,"Landshark Lager"
433_1312,"Molson Canadian Lager"
29_670,"Busch Beer"
281_767,"Tsingtao"
29_653,"Natural Ice"
306_58017,"Batch 19"
57_2803,"Sol"
105_1299,"Icehouse"
29_1642,"Bud Ice"
213_7406,"Narragansett Lager"
727_2176,"Tiger Beer"
447_1332,"Old Milwaukee Beer"
105_1207,"Red Dog"
105_1286,"Milwaukee's Best Premium"
447_1719,"Lone Star Beer"
306_2947,"Keystone Ice"
320_870,"Hamm's"
822_2563,"Tusker Premium Lager"
912_2910,"Presidente"
447_1727,"Old Style"
105_1484,"Milwaukee's Best Ice"
4949_14687,"Estrella Damm"
710_3333,"Leinenkugel's Original"
447_1330,"Stroh's"
417_10364,"Grain Belt Premium"
302_865,"Genesee Beer"
410_2680,"Iron City Beer"
493_39875,"Chang Beer (Export)"
1491_3940,"Imperial"
447_7363,"National Bohemian Beer"
106_44315,"Schlitz Gusto (Classic 1960's Formula)"
57_1284,"Carta Blanca"
433_1359,"Molson Ice"
150_5412,"Lionshead Pilsner"
1252_3637,"Quilmes"
91_2970,"Taj Mahal Premium Lager"
147_6301,"Levitation Ale"
2743_35732,"Green Flash Hop Head Red Ale"
694_6322,"Tröegs Hopback Amber Ale"
287_794,"Bell's Amber Ale"
140_98495,"Flipside Red IPA"
610_1655,"Red Rocket Ale"
220_3711,"Censored"
73_1792,"Great Lakes Nosferatu"
220_22387,"Lagunitas Imperial Red Ale"
132_1173,"Santa's Private Reserve Ale"
220_35397,"Lagunitas Lucky 13 Mondo Large Red Ale"
20681_54522,"Zoe"
112_410,"Ruedrich's Red Seal Ale"
193_623,"Boont Amber Ale"
132_363,"American Amber Ale"
811_2526,"Highland Gaelic Ale"
17981_61877,"Tocobaga Red Ale"
2137_2297,"Avalanche Ale"
651_18721,"CascaZilla"
199_691,"Calico Copper Amber Ale"
5316_213,"Full Sail Amber"
132_1597,"St. Rogue Red"
200_631,"Red Tail Ale"
10607_104466,"Global Warmer"
559_1468,"Prohibition Ale"
192_83434,"Red Hoptober"
199_7306,"Tongue Buckler - Imperial Red Ale"
20681_103142,"Red Wheelbarrow"
28_97721,"Anchor BigLeaf Maple Autumn Red"
132_51071,"Captain Sig's Northwestern Ale"
396_47647,"YuleSmith (Winter)"
31987_95921,"Blazing World"
16315_55191,"5 A.M. Saint"
13839_41421,"Shark Attack Double Red Ale"
267_47589,"Runoff Red IPA"
96_33200,"Roxy Rolles"
2372_45779,"Terrapin Oaked Big Hoppy Monster"
13837_31117,"Ambergeddon"
17963_1663,"Red Nectar"
396_28312,"AleSmith My Bloody Valentine"
43_64798,"Kingpin Double Red Ale"
16866_62063,"Loakal Red"
140_82083,"Red-oric - Beer Camp #65 (Best Of Beer Camp: #95 Imperial Red Ale)"
35_75435,"Samuel Adams Mighty Oak Ale"
18134_35061,"Redhook Copperhook"
751_2263,"Powder Hound Winter Ale"
182_1351,"Yuengling Traditional Lager"
45_148,"Brooklyn Lager"
306_909,"George Killian's Irish Red"
68_204,"Old Scratch Amber Lager"
764_2318,"Blue Point Toasted Lager"
302_832,"Dundee Original Honey Brown Lager"
29_88582,"Budweiser Black Crown"
105_110568,"Miller Fortune"
710_45659,"Leinenkugel's Classic Amber"
741_2219,"Riverwest Stein Beer"
21537_54155,"Barking Squirrel Lager"
27114_37142,"Coney Island Lager"
29_34257,"Redbridge"
417_57402,"Grain Belt Nordeast"
368_977,"Wisconsin Amber"
29_2544,"ZiegenBock Amber"
433_2037,"Rickard's Red"
455_1654,"Creemore Springs Premium Lager"
2951_7330,"Red Oak Amber"
26520_87767,"Lashes Hopbock Lager"
368_987,"Winter Skål"
415_1323,"Sleeman Honey Brown Lager"
13667_33177,"Starr Hill Jomo Lager"
786_3921,"Point Classic Amber"
417_1964,"Schell's Dark"
29_2417,"Michelob Honey Lager"
9969_20193,"Texas Red Amber Lager"
156_2294,"Ornery Amber"
8325_17119,"Fisherman's Brew"
5316_66358,"LTD Series - 05"
5316_73629,"Session Fest"
22951_97342,"Swagger"
17948_57348,"Colorado Native Lager"
29_111575,"Busch Signature Copper Lager"
10707_40888,"Trader Jose's Dark Lager"
13667_44804,"Festie"
431_62327,"Hudepohl Amber Lager"
6372_50762,"1900 Amber Lager"
9629_96648,"Short's Lil' Wheezy"
1416_77762,"Yard Sale Winter Lager"
302_56521,"Dundee Irish Red Lager"
880_81025,"Straub American Amber"
150_47413,"Stegmaier Amber Lager"
2346_7052,"Rochester Mills Rochester Red"
3760_119690,"Mill Street 100th Meridian"
780_11158,"Cypress Honey Lager"
7753_55134,"Ruby Lager"
14359_36100,"Muddy Creek Lager"
619_9963,"Mojave Red"
33205_104716,"Amber Lager"
140_2671,"Sierra Nevada Bigfoot Barleywine Style Ale"
64_6533,"Olde School Barleywine"
287_1891,"Third Coast Old Ale"
158_20931,"Old Ruffian Barley Wine"
652_41300,"Brewer's Reserve Bourbon Barrel Barleywine"
30_1490,"Hog Heaven Barley Wine"
345_1009,"Old Horizontal"
147_78551,"Old Guardian Barley Wine Style Ale"
26_4810,"Behemoth Blonde Barleywine"
694_48224,"Tröegs Flying Mouflan"
132_2965,"XS Old Crustacean"
396_6646,"AleSmith Old Numbskull"
220_1579,"Olde GnarlyWine"
173_20762,"Doggie Claws"
140_34129,"Sierra Nevada Bigfoot Barleywine Style Ale - Barrel-Aged"
1416_58868,"Cockeyed Cooper"
2743_33599,"Barleywine Style Ale"
1141_14735,"Solstice D'hiver"
1416_3840,"Anniversary Barley Wine Ale"
24940_97404,"Heirloom Pumpkin Barleywine"
35_74591,"Griffin's Bow"
130_9845,"Killer Penguin Barleywine"
735_10938,"Lower De Boom Barleywine"
458_7588,"Sisyphus"
429_35924,"Alaskan Barley Wine (Pilot Series)"
141_181,"Smuttynose Barleywine Style Ale (Big Beer Series)"
652_2837,"Kosmyk Charlie's Y2K Catastrophe Ale"
10485_27476,"Gratitude"
1805_38776,"The Vermonster"
3120_25364,"Great"
266_20500,"John Barleycorn Barleywine Ale"
24903_89499,"A Deal With The Devil"
22951_93433,"Crunkle Sam"
7730_25489,"# 100"
13307_39775,"Big Worse"
24300_78159,"Evil Twin Freudian Slip"
5316_21364,"Old Boardhead Barleywine Ale"
396_21120,"AleSmith Old Numbskull - Barrel Aged"
26_34631,"Barrel Aged Behemoth"
158_45249,"Barrel Aged Old Ruffian"
870_2874,"Old Blarney Barleywine"
1683_28817,"Chicken Killer Barley Wine"
103_1894,"Druid Fluid"
1924_13874,"Devil's Milk"
3818_78008,"Oak-Aged Backburner (Imperial Barley Wine Style Ale)"
751_47476,"Olde Bluehair Barley Wine"
33_795,"Holidale"
16843_80279,"Barrel Roll No. 4 Hammerhead"
764_2820,"Blue Point Old Howling Bastard"
200_16439,"Talon - True Style Barley Wine Ale"
147_38470,"Sublimely Self-Righteous Ale"
2210_79286,"Wookey Jack"
220_112938,"NightTime"
735_46070,"Back In Black"
1199_127483,"Dark Penance"
1416_67046,"Dubhe Imperial Black IPA"
345_46385,"Yakima Glory"
3818_47228,"Iniquity (Imperial Black Ale)"
192_74123,"Snow Day Winter Ale"
22951_55019,"Hoppy Feet"
63_58695,"Hop In The Dark Cascadian Dark Ale"
1471_3877,"Dark Horse Reserve Special Black Ale"
590_72490,"Black Top"
140_113859,"Sierra Nevada Blindfold Black IPA"
119_77274,"Otter Creek Black IPA"
20681_95131,"Weez"
13014_114153,"Blakkr"
8_54262,"Pitch Black IPA"
267_63543,"Mountain Standard Double Black IPA"
898_65545,"Heavy Seas Black Cannon"
423_87784,"Grainstorm Black Rye IPA"
22951_64750,"Hoppy Feet 1.5"
132_68251,"Dad's Little Helper Black IPA"
140_115015,"Blindfold Black IPA"
12985_44085,"DogZilla Black IPA"
610_71451,"Black Racer"
25937_71256,"Anger"
156_58876,"Hop Strike Black IPA"
9790_80673,"Duck-Rabbit Hoppy Bunny American Black Ale"
764_60730,"Toxic Sludge Black IPA"
2743_91191,"Hop Odyssey: Black IPA"
141_90575,"Smuttynose Noonan Black IPA"
429_76892,"Alaskan Black IPA"
26_89830,"In The Name Of Suffering"
132_31282,"Morimoto Black Obi Soba Ale"
262_103285,"He'Brew Death Of A Contract Brewer"
22511_59583,"James Black Ale"
29223_84344,"Midnight Ryder"
335_31431,"New Holland Black Hatter"
16315_84505,"Libertine Black Ale"
13884_66426,"Peak Organic Hop Noir"
454_60469,"Arcadia B-Craft Black IPA"
98_77266,"Harpoon Black IPA"
22511_77350,"Society & Solitude #2"
2470_86195,"Black Rajah"
651_101972,"Dark Vine"
4408_54026,"Black Perle Dark IPA"
9629_82298,"Goodnight Bodacious"
2372_56890,"Terrapin Capt'n Krunkles Black IPA"
741_65076,"IBA"
345_59987,"Summer Love"
63_17984,"Twilight Summer Ale"
579_22592,"Big Wave Golden Ale"
192_68008,"Somersault"
192_51991,"Hoptober Golden Ale"
139_1120,"Shipyard Export Ale"
287_126807,"Bell's Venus (The Bringer Of Peace)"
287_3811,"Third Coast Beer"
458_8695,"Fireman's #4"
192_29675,"Skinny Dip"
2210_81490,"805 Blonde Ale"
16759_45576,"Bombshell Blonde"
339_1959,"Farmhouse Summer Ale"
8_68601,"Citra Blonde Summer Brew"
63_90568,"Deschutes River Ale"
923_3041,"True Blonde Ale"
213_68147,"Narragansett Summer Ale"
22511_83460,"Walden"
689_1966,"Prairie Path Ale"
18006_54770,"Gossamer Golden Ale"
764_4585,"Blue Point Summer Ale"
132_56758,"Rogue Farms Single Malt Ale"
863_27057,"Aud Blonde"
16866_96625,"Preservation Series: Or Xata"
18134_69,"Redhook Blonde"
898_58006,"Heavy Seas - Gold Ale"
751_4367,"Summer Honey Ale"
458_82807,"4² (Four Squared)"
447_876,"Ballantine XXX Ale"
1416_50219,"Sum'r Summer Ale"
22564_97432,"Bean Flicker"
433_1837,"Molson Export"
29_30727,"Beach Bum Blonde Ale"
14400_47923,"Spring Reign"
132_362,"Oregon Golden Ale"
365_961,"Naughty Nellie"
17980_54052,"Knockout Blonde"
13947_30771,"Beer Of The Gods"
1924_13873,"Bare Ass Blonde Ale"
27403_83956,"Dallas Blonde"
877_9491,"River Horse Summer Blonde"
16105_42039,"Mayflower Golden Ale"
63_194,"Cascade Ale"
22167_59015,"Lonely Blonde"
22150_77284,"Premium"
478_1835,"Labatt Canadian Ale / Labatt 50"
7059_13523,"Alamo Golden Ale"
25667_69447,"Peacemaker Extra Pale Ale"
16393_41938,"Mission Blonde"
18854_46935,"NOLA Blonde Ale"
64_1161,"Indian Brown Ale"
64_33832,"Palo Santo Marron"
132_1339,"Hazelnut Brown Nectar"
140_60420,"Sierra Nevada Tumbler Autumn Brown Ale"
141_184,"Smuttynose Old Brown Dog Ale"
751_2296,"Moose Drool Brown Ale"
45_146,"Brooklyn Brown Ale"
13014_30764,"Coffee Bender"
30_2894,"Ellie's Brown Ale"
13014_28165,"Bender"
1146_1999,"Christmas Ale"
579_66449,"Koko Brown"
3_35134,"Pecan Harvest Ale"
35_83560,"Samuel Adams Hazel Brown"
156_117,"Maple Nut Brown Ale"
335_3914,"New Holland Cabin Fever Brown Ale"
784_20728,"Rocky's Revenge Bourbon Brown"
28_66961,"Brekle's Brown"
141_88200,"Smuttynose Durty Mud Season Hoppy Brown Ale"
9897_22257,"Maracaibo Especial"
9629_19685,"Short's Bellaire Brown Ale"
156_21166,"Imperial Nut Brown Ale"
9790_20206,"Duck-Rabbit Brown Ale"
22951_56560,"Brown Angel"
610_12531,"Peter Brown Tribute Ale"
13839_88341,"Board Meeting"
17963_57319,"Humboldt Brown (Hemp Ale)"
9020_20893,"Dos Perros"
130_46809,"Flashback Ale"
9629_54876,"Good Humans"
22511_74559,"George"
10607_22192,"Brownstone"
19126_49646,"Sweet Josie Brown Ale"
31805_69935,"No Crusts"
262_79424,"He'Brew Messiah Nut Brown Ale"
30_122120,"Avery Anniversary Ale - Twenty One"
18006_48024,"Over Ale"
96_141169,"Snow Roller"
17981_48825,"Improv (Improvisación) Oatmeal Rye India-Style Brown Ale"
1924_114259,"Dirty Little Freak"
786_56551,"Onyx Black Ale"
9629_37466,"Short's The Woodmaster"
99_33399,"Saranac Brown Ale"
13014_83416,"Cacao Bender"
1146_131943,"Festivity Ale"
287_126809,"Bell's Jupiter (The Bringer Of Jollity)"
13837_31412,"Madtown Nutbrown"
306_104816,"Blue Moon Mountain Abbey Ale"
612_42190,"Pullman Brown Ale"
13371_31551,"Wynona's Big Brown Ale"
29_104855,"Shock Top Chocolate Wheat"
689_101936,"Night Cat"
13884_63180,"Peak Organic Winter Session Ale"
33_2370,"River Ale"
28_133488,"Anchor Winter Wheat"
583_33514,"Schlafly No. 15"
28879_80732,"Baaad Boy Black Wheat"
16105_61138,"Autumn Wheat Ale"
461_59294,"Cornstalker Dark Wheat"
1416_76114,"Hazel Amber Wheat Ale"
28879_95054,"Hello
1457_98751,"Arbor Brewing Violin Monster"
27792_77068,"Black Walnut Wheat"
25937_74169,"Red Bud"
2593_36148,"WRed Wheat"
978_70802,"Wheat Wacker"
1432_143759,"Bourbon Barrel Paw Paw Wheat"
28879_150522,"Imperial Black Wheat Coffee Ale (Nimble Lips
13602_59286,"Ruddy Wheat"
5077_68037,"Shredder's Wheat"
10629_53588,"Oktoberfest"
2647_17610,"Gwiniz Du"
5605_94309,"Dirty Hippie"
4668_10061,"Jamieson Mountain Ale"
32799_100633,"Imaginary Friend"
17033_46633,"Winter Wheat"
18823_61863,"Outlaw McCaw"
2137_60046,"FS 15"
1480_102370,"Ruby Tuesday"
1635_6669,"Autumn Harvest Wheat"
33637_137098,"Sheer Madness Wheat Noir"
