beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
429_1309,"Alaskan Amber","Alaskan Brewing Co.","/beer/profile/429/1309/","Altbier",82,"good",1,601,78,"okay",586,3.63,12.4,58,231,1,"Alaska,United States",5.30,"Year-round"
94_273,"Double Bag","Long Trail Brewing Co.","/beer/profile/94/273/","Altbier",87,"very good",1,501,94,"outstanding",549,3.87,12.4,74,204,2,"Vermont,United States",7.20,"Year-round"
140_127727,"Alt Route: Altbier (Beer Camp Across America)","Sierra Nevada Brewing Co.","/beer/profile/140/127727/","Altbier",81,"good",1,174,-,"no score",168,3.55,12.11,7,108,1,"California,United States",6.60,"Limited (brewed once)"
94_3128,"Long Trail Ale","Long Trail Brewing Co.","/beer/profile/94/3128/","Altbier",81,"good",1,161,70,"okay",393,3.55,12.96,12,156,1,"Vermont,United States",4.60,"Year-round"
119_434,"Otter Creek Copper Ale","Otter Creek Brewing / Wolaver's","/beer/profile/119/434/","Altbier",82,"good",845,90,"outstanding",409,3.62,13.26,15,61,0,"Vermont,United States",5.00,"Year-round"
1923_24042,"Uerige Doppelsticke","Uerige Obergärige Hausbrauerei","/beer/profile/1923/24042/","Altbier",92,"outstanding",578,-,"no score",408,4.12,11.17,60,31,3,"Germany",8.50,"Rotating"
14400_47120,"Sleigh'r Dark Doüble Alt Ale","Ninkasi Brewing Company","/beer/profile/14400/47120/","Altbier",85,"very good",488,-,"no score",149,3.76,12.23,27,55,1,"Oregon,United States",7.20,"Winter"
1628_43341,"Southampton Altbier","Southampton Publick House","/beer/profile/1628/43341/","Altbier",81,"good",479,60,"poor",423,3.57,14.29,7,2,0,"New York,United States",5.00,"Year-round"
31678_94505,"Scurry","Off Color Brewing","/beer/profile/31678/94505/","Altbier",82,"good",477,-,"no score",76,3.64,11.54,8,55,0,"Illinois,United States",5.30,"Year-round"
8_25752,"Okto Festival Ale","Widmer Brothers Brewing Company","/beer/profile/8/25752/","Altbier",79,"okay",467,87,"very good",177,3.44,13.95,8,29,0,"Oregon,United States",5.30,"Fall"
1923_16146,"Uerige Sticke","Uerige Obergärige Hausbrauerei","/beer/profile/1923/16146/","Altbier",91,"outstanding",446,-,"no score",329,4.1,9.51,41,29,2,"Germany",6.50,"Rotating"
31_80,"Organic Münster Alt","Brauerei Pinkus Mueller","/beer/profile/31/80/","Altbier",82,"good",359,96,"world-class",263,3.62,15.75,15,12,0,"Germany",5.10,"Year-round"
19247_49474,"OMB Copper","The Olde Mecklenburg Brewery","/beer/profile/19247/49474/","Altbier",91,"outstanding",298,100,"world-class",77,4.06,13.79,46,54,2,"North Carolina,United States",4.80,"Year-round"
1923_6355,"Uerige Altbier","Uerige Obergärige Hausbrauerei","/beer/profile/1923/6355/","Altbier",89,"very good",260,-,"no score",189,3.98,13.82,24,6,0,"Germany",4.70,"Year-round"
642_2553,"Ad Astra Ale","Free State Brewing Co.","/beer/profile/642/2553/","Altbier",83,"good",213,-,"no score",56,3.68,11.41,9,41,0,"Kansas,United States",5.60,"Year-round"
784_2850,"Headless Man Amber Alt","Tyranena Brewing Company","/beer/profile/784/2850/","Altbier",81,"good",201,-,"no score",122,3.58,10.89,5,7,0,"Wisconsin,United States",5.00,"Year-round"
9020_67505,"Gerst Amber","Yazoo Brewing Company","/beer/profile/9020/67505/","Altbier",79,"okay",190,-,"no score",25,3.46,15.03,3,29,1,"Tennessee,United States",4.50,"Year-round"
624_22919,"Headwall Alt","Tuckerman Brewing Co.","/beer/profile/624/22919/","Altbier",83,"good",186,88,"very good",86,3.68,11.14,5,8,0,"New Hampshire,United States",4.75,"Year-round"
24880_69320,"Three Blind Mice","Mother's Brewing Company","/beer/profile/24880/69320/","Altbier",80,"good",181,-,"no score",36,3.52,14.77,3,42,0,"Missouri,United States",5.50,"Year-round"
143_64657,"Shiner Old-Time Alt","Spoetzl Brewery / Shiner","/beer/profile/143/64657/","Altbier",82,"good",178,90,"outstanding",86,3.63,14.33,14,11,0,"Texas,United States",4.20,"Rotating"
417_1803,"Schell's Schmaltz's Alt","August Schell Brewing Company","/beer/profile/417/1803/","Altbier",84,"good",174,80,"good",110,3.73,10.72,11,7,1,"Minnesota,United States",5.10,"Winter"
27696_75920,"Alt-eration Ale","Hops and Grain Brewery","/beer/profile/27696/75920/","Altbier",86,"very good",164,82,"good",23,3.82,10.99,4,21,1,"Texas,United States",5.10,"Year-round"
