beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
29_104855,"Shock Top Chocolate Wheat","Anheuser-Busch","/beer/profile/29/104855/","American Dark Wheat Ale",78,"okay",357,-,"no score",56,3.39,17.99,18,92,0,"Missouri,United States",4.30,"Winter"
689_101936,"Night Cat","Two Brothers Brewing Company","/beer/profile/689/101936/","American Dark Wheat Ale",85,"very good",286,-,"no score",44,3.79,11.08,9,35,0,"Illinois,United States",5.80,"Fall"
13884_63180,"Peak Organic Winter Session Ale","Peak Organic Brewing Company","/beer/profile/13884/63180/","American Dark Wheat Ale",83,"good",221,-,"no score",90,3.68,12.5,12,22,0,"Maine,United States",5.00,"Winter"
33_2370,"River Ale","Berkshire Brewing Company Inc.","/beer/profile/33/2370/","American Dark Wheat Ale",88,"very good",220,93,"outstanding",122,3.94,9.64,53,10,0,"Massachusetts,United States",7.00,"Year-round"
28_133488,"Anchor Winter Wheat","Anchor Brewing Company","/beer/profile/28/133488/","American Dark Wheat Ale",85,"very good",199,-,"no score",53,3.78,12.17,14,31,0,"California,United States",7.00,"Winter"
583_33514,"Schlafly No. 15","The Schlafly Tap Room","/beer/profile/583/33514/","American Dark Wheat Ale",87,"very good",155,84,"good",129,3.88,9.54,20,2,0,"Missouri,United States",6.00,"Summer"
28879_80732,"Baaad Boy Black Wheat","3 Sheeps Brewing","/beer/profile/28879/80732/","American Dark Wheat Ale",82,"good",133,-,"no score",25,3.6,12.5,4,19,0,"Wisconsin,United States",5.50,"Year-round"
16105_61138,"Autumn Wheat Ale","Mayflower Brewing Company","/beer/profile/16105/61138/","American Dark Wheat Ale",80,"good",104,-,"no score",36,3.48,13.51,4,8,0,"Massachusetts,United States",5.80,"Fall"
461_59294,"Cornstalker Dark Wheat","Thunderhead Brewing Company","/beer/profile/461/59294/","American Dark Wheat Ale",83,"good",86,-,"no score",26,3.64,13.19,7,9,0,"Nebraska,United States",5.20,"Year-round"
1416_76114,"Hazel Amber Wheat Ale","Uinta Brewing Company","/beer/profile/1416/76114/","American Dark Wheat Ale",76,"okay",81,-,"no score",23,3.27,16.51,3,9,0,"Utah,United States",4.00,"Winter"
28879_95054,"Hello, My Name Is Joe","3 Sheeps Brewing","/beer/profile/28879/95054/","American Dark Wheat Ale",93,"outstanding",77,-,"no score",10,4.22,8.06,19,6,0,"Wisconsin,United States",7.70,"Spring"
1457_98751,"Arbor Brewing Violin Monster","Arbor Brewing Company","/beer/profile/1457/98751/","American Dark Wheat Ale",85,"very good",77,-,"no score",9,3.76,14.63,5,16,0,"Michigan,United States",9.50,"Fall"
27792_77068,"Black Walnut Wheat","Piney River Brewing Co.","/beer/profile/27792/77068/","American Dark Wheat Ale",82,"good",53,-,"no score",11,3.62,16.57,5,8,0,"Missouri,United States",4.50,"Year-round"
25937_74169,"Red Bud","Greenbush Brewing Company","/beer/profile/25937/74169/","American Dark Wheat Ale",83,"good",53,-,"no score",6,3.65,11.23,2,3,0,"Michigan,United States",6.10,"Year-round"
2593_36148,"WRed Wheat","Wild Rose Brewery & Taproom","/beer/profile/2593/36148/","American Dark Wheat Ale",77,"okay",39,-,"no score",23,3.26,12.27,1,1,0,"Alberta,Canada",5.00,"Year-round"
978_70802,"Wheat Wacker","Black Diamond Brewing Co.","/beer/profile/978/70802/","American Dark Wheat Ale",80,"good",38,-,"no score",16,3.48,11.49,0,2,0,"California,United States",7.00,"Summer"
