beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
68_24071,"Gonzo Imperial Porter","Flying Dog Brewery","/beer/profile/68/24071/","Baltic Porter",90,"outstanding",2,675,84,"good",1,436,4.02,10.95,114,219,4,"Maryland,United States",9.20,"Rotating"
26520_79898,"Barrel-Aged Framinghammer","Jack's Abby Brewing","/beer/profile/26520/79898/","Baltic Porter",96,"world-class",1,204,95,"world-class",142,4.34,8.06,298,251,42,"Massachusetts,United States",10.00,"Rotating"
10607_88889,"3Beans","Sixpoint Brewery","/beer/profile/10607/88889/","Baltic Porter",90,"outstanding",1,190,89,"very good",249,4.03,10.67,107,100,2,"New York,United States",10.00,"Rotating"
141_40674,"Smuttynose Baltic Porter","Smuttynose Brewing Company","/beer/profile/141/40674/","Baltic Porter",95,"world-class",1,112,-,"no score",507,4.26,9.15,215,137,10,"New Hampshire,United States",9.24,"Year-round"
345_40443,"Baltic Thunder","Victory Brewing Company","/beer/profile/345/40443/","Baltic Porter",87,"very good",913,90,"outstanding",535,3.86,11.66,60,47,0,"Pennsylvania,United States",8.50,"Year-round"
401_4694,"Baltika #6 Porter","Baltika Breweries","/beer/profile/401/4694/","Baltic Porter",82,"good",857,77,"okay",582,3.61,14.13,11,36,0,"Russian Federation",7.00,"Year-round"
454_65809,"Bourbon Barrel Aged Shipwreck Porter","Arcadia Brewing Company","/beer/profile/454/65809/","Baltic Porter",93,"outstanding",839,-,"no score",278,4.18,9.57,149,303,36,"Michigan,United States",12.00,"Winter"
9790_32180,"Duck-Rabbit Baltic Porter","The Duck-Rabbit Craft Brewery","/beer/profile/9790/32180/","Baltic Porter",91,"outstanding",809,-,"no score",455,4.08,11.27,157,78,4,"North Carolina,United States",9.00,"Fall"
264_2758,"Sinebrychoff Porter","Oy Sinebrychoff Ab","/beer/profile/264/2758/","Baltic Porter",93,"outstanding",787,95,"world-class",582,4.17,10.55,76,40,1,"Finland",7.20,"Year-round"
13014_39917,"Smoke","Surly Brewing Company","/beer/profile/13014/39917/","Baltic Porter",91,"outstanding",787,-,"no score",272,4.08,12.25,328,244,11,"Minnesota,United States",8.20,"Rotating"
68_36342,"Barrel Aged Gonzo Imperial Porter","Flying Dog Brewery","/beer/profile/68/36342/","Baltic Porter",92,"outstanding",694,84,"good",323,4.14,9.9,156,121,7,"Maryland,United States",9.50,"Rotating"
26520_93101,"Vanilla Barrel-Aged Framinghammer","Jack's Abby Brewing","/beer/profile/26520/93101/","Baltic Porter",96,"world-class",666,-,"no score",74,4.34,7.37,212,132,35,"Massachusetts,United States",10.00,"Rotating"
623_1901,"Zywiec Porter","Zywiec Breweries PLC (Heineken)","/beer/profile/623/1901/","Baltic Porter",87,"very good",650,-,"no score",371,3.89,13.37,21,39,0,"Poland",9.50,"Year-round"
26520_93249,"Coffee Barrel-Aged Framinghammer","Jack's Abby Brewing","/beer/profile/26520/93249/","Baltic Porter",96,"world-class",615,-,"no score",59,4.32,7.64,177,122,30,"Massachusetts,United States",10.00,"Spring"
345_87404,"Red Thunder","Victory Brewing Company","/beer/profile/345/87404/","Baltic Porter",87,"very good",561,-,"no score",112,3.87,11.63,19,75,7,"Pennsylvania,United States",8.50,"Winter"
568_1504,"Okocim Porter","Browar Okocim S.A. (Carlsberg)","/beer/profile/568/1504/","Baltic Porter",92,"outstanding",539,84,"good",467,4.12,10.68,46,11,0,"Poland",8.10,"Year-round"
5504_17055,"Black Boss Porter","BOSS Browar Witnica S.A.","/beer/profile/5504/17055/","Baltic Porter",85,"very good",537,-,"no score",295,3.76,15.43,11,44,2,"Poland",9.40,"Year-round"
10897_755,"Carnegie Porter 5,5%","Carlsberg Sverige AB","/beer/profile/10897/755/","Baltic Porter",92,"outstanding",522,100,"world-class",338,4.11,10.71,51,28,2,"Sweden",5.50,"Year-round"
26520_77500,"Framinghammer Baltic Porter","Jack's Abby Brewing","/beer/profile/26520/77500/","Baltic Porter",93,"outstanding",493,-,"no score",50,4.16,7.45,65,89,7,"Massachusetts,United States",10.00,"Rotating"
26_42378,"Topless Wytch","3 Floyds Brewing Co.","/beer/profile/26/42378/","Baltic Porter",90,"outstanding",476,-,"no score",97,4.04,10.4,72,64,6,"Indiana,United States",9.00,"Rotating"
735_100316,"He Said (Baltic Porter)","21st Amendment Brewery","/beer/profile/735/100316/","Baltic Porter",84,"good",439,80,"good",88,3.73,11.8,11,46,0,"California,United States",8.20,"Fall"
923_16329,"Nefarious Ten Pin Imperial Porter","Ska Brewing Co.","/beer/profile/923/16329/","Baltic Porter",86,"very good",423,85,"very good",236,3.83,10.97,39,40,1,"Colorado,United States",8.00,"Year-round"
1416_88338,"Sea Legs Baltic Porter","Uinta Brewing Company","/beer/profile/1416/88338/","Baltic Porter",91,"outstanding",420,90,"outstanding",86,4.09,8.31,33,78,4,"Utah,United States",8.00,"Rotating"
158_60846,"Smoked Baltic Porter","Great Divide Brewing Company","/beer/profile/158/60846/","Baltic Porter",84,"good",395,-,"no score",243,3.72,12.9,9,25,0,"Colorado,United States",7.50,"Rotating"
7730_14314,"Porter","Nøgne Ø","/beer/profile/7730/14314/","Baltic Porter",90,"outstanding",374,-,"no score",229,4.05,10.37,32,17,1,"Norway",7.00,"Rotating"
