beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
64_35720,"Festina Pêche","Dogfish Head Brewery","/beer/profile/64/35720/","Berliner Weissbier",83,"good",3,802,93,"outstanding",1,287,3.65,17.53,143,401,5,"Delaware,United States",4.50,"Summer"
287_49092,"Bell's Oarsman","Bell's Brewery, Inc.","/beer/profile/287/49092/","Berliner Weissbier",80,"good",1,887,-,"no score",560,3.51,16.24,74,179,3,"Michigan,United States",4.00,"Year-round"
16866_43889,"Hottenroth Berliner Weisse","The Bruery","/beer/profile/16866/43889/","Berliner Weissbier",90,"outstanding",1,450,-,"no score",413,4.04,11.14,188,158,9,"California,United States",3.10,"Rotating"
23495_36378,"Professor Fritz Briem 1809 Berliner Weisse","Professor Fritz Briem","/beer/profile/23495/36378/","Berliner Weissbier",92,"outstanding",1,251,-,"no score",565,4.1,10.24,107,105,0,"Germany",5.00,"Year-round"
590_43456,"Thumbprint Berliner Weiss","New Glarus Brewing Company","/beer/profile/590/43456/","Berliner Weissbier",93,"outstanding",1,246,97,"world-class",366,4.17,9.11,307,125,21,"Wisconsin,United States",3.00,"Rotating"
24300_90585,"Evil Twin Justin Blåbær","Evil Twin Brewing","/beer/profile/24300/90585/","Berliner Weissbier",88,"very good",928,92,"outstanding",126,3.9,11.79,66,111,25,"New York,United States",4.50,"Rotating"
610_75491,"Tartare","Bear Republic Brewing Co.","/beer/profile/610/75491/","Berliner Weissbier",96,"world-class",497,100,"world-class",93,4.33,9.7,171,15,0,"California,United States",4.00,"Rotating"
28609_83899,"Ever Weisse","Night Shift Brewing","/beer/profile/28609/83899/","Berliner Weissbier",95,"world-class",496,-,"no score",42,4.27,10.07,220,63,11,"Massachusetts,United States",5.50,"Rotating"
25888_84304,"Peach Berliner Weisse","Perennial Artisan Ales","/beer/profile/25888/84304/","Berliner Weissbier",85,"very good",392,88,"very good",50,3.79,11.35,60,22,3,"Missouri,United States",4.20,"Rotating"
4909_37039,"Berliner Style Weisse","Gasthaus & Gosebrauerei Bayerischer Bahnhof","/beer/profile/4909/37039/","Berliner Weissbier",84,"good",373,-,"no score",187,3.71,12.94,22,12,2,"Germany",3.00,"Year-round"
