beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
16333_93957,"Tallgrass Pub Ale","Tallgrass Brewing Company","/beer/profile/16333/93957/","English Pale Mild Ale",82,"good",104,-,"no score",15,3.59,13.09,13,20,0,"Kansas,United States",4.40,"Year-round"
1108_3275,"Ossian","Inveralmond Brewery Ltd., The","/beer/profile/1108/3275/","English Pale Mild Ale",85,"very good",102,-,"no score",72,3.78,12.43,16,1,0,"United Kingdom (Scotland)",4.10,"Rotating"
806_39631,"Brakspear Oxford Gold","W.H. Brakspear & Sons plc","/beer/profile/806/39631/","English Pale Mild Ale",82,"good",96,-,"no score",45,3.62,14.36,3,3,0,"United Kingdom (England)",4.60,"Year-round"
22893_67269,"Mid Mountain Mild Ale","Epic Brewing Company","/beer/profile/22893/67269/","English Pale Mild Ale",80,"good",73,-,"no score",35,3.49,13.18,7,5,0,"Utah,United States",5.00,"Rotating"
2266_5740,"Dead Horse Amber Ale","Moab Brewery","/beer/profile/2266/5740/","English Pale Mild Ale",78,"okay",65,-,"no score",40,3.39,14.45,3,1,0,"Utah,United States",4.00,"Year-round"
467_139180,"Union Series:  3X Mild Ale","Summit Brewing Company","/beer/profile/467/139180/","English Pale Mild Ale",88,"very good",57,88,"very good",13,3.95,7.59,3,5,0,"Minnesota,United States",7.20,"Limited (brewed once)"
491_21576,"Coopers Mild Ale","Coopers Brewery Limited","/beer/profile/491/21576/","English Pale Mild Ale",73,"okay",48,-,"no score",28,3.04,17.11,6,3,0,"Australia",3.50,"Year-round"
22903_58726,"Passenger Ale","Boxcar Brewing Co.","/beer/profile/22903/58726/","English Pale Mild Ale",72,"okay",42,-,"no score",16,2.97,27.27,0,2,0,"Pennsylvania,United States",5.00,"Year-round"
14033_62187,"Minerva Pale Ale","Cervecería Minerva","/beer/profile/14033/62187/","English Pale Mild Ale",81,"good",40,-,"no score",13,3.52,15.63,2,16,0,"Mexico",6.00,"Year-round"
22412_99131,"English 101","Noble Ale Works","/beer/profile/22412/99131/","English Pale Mild Ale",84,"good",26,-,"no score",4,3.76,7.71,0,1,0,"California,United States",4.60,"Rotating"
203_20877,"Hop","Greene King / Morland Brewery","/beer/profile/203/20877/","English Pale Mild Ale",79,"okay",26,-,"no score",23,3.37,13.35,1,0,0,"United Kingdom (England)",5.00,"Year-round"
34428_119460,"Gutch English Style Mild Ale","Defiance Brewing Co.","/beer/profile/34428/119460/","English Pale Mild Ale",86,"very good",26,-,"no score",5,3.87,7.75,0,5,0,"Kansas,United States",5.00,"Year-round"
13486_61797,"Blonde","Lancaster Brewery Company Ltd","/beer/profile/13486/61797/","English Pale Mild Ale",78,"okay",25,-,"no score",14,3.28,15.24,1,1,0,"United Kingdom (England)",4.10,"Year-round"
33119_104320,"Ramshackle Golden Mild","Firefly Hollow Brewing Co.","/beer/profile/33119/104320/","English Pale Mild Ale",81,"good",20,-,"no score",0,3.53,6.8,0,0,0,"Connecticut,United States",4.00,"Year-round"
345_56299,"Strangeways Golden Ale","Victory Brewing Company","/beer/profile/345/56299/","English Pale Mild Ale",82,"good",20,-,"no score",11,3.59,14.48,3,1,0,"Pennsylvania,United States",3.50,"Rotating"
29395_84762,"Lake Lightening","Hogshead Brewery","/beer/profile/29395/84762/","English Pale Mild Ale",87,"very good",18,100,"world-class",3,3.97,7.81,3,2,0,"Colorado,United States",ABV ,"Year-round"
1457_19398,"Arbor Brewing Big Ben House Mild","Arbor Brewing Company","/beer/profile/1457/19398/","English Pale Mild Ale",81,"good",18,-,"no score",12,3.52,14.49,3,0,0,"Michigan,United States",3.50,"Year-round"
1533_37351,"O'Hanlons Yellowhammer","O'Hanlon Brewing Co. Ltd.","/beer/profile/1533/37351/","English Pale Mild Ale",83,"good",16,-,"no score",15,3.64,15.11,3,0,0,"United Kingdom (England)",4.70,"Year-round"
