beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
113_572,"Samuel Smith's The Famous Taddy Porter","Samuel Smith Old Brewery (Tadcaster)","/beer/profile/113/572/","English Porter",93,"outstanding",2,718,100,"world-class",1,267,4.18,11.24,181,250,0,"United Kingdom (England)",5.00,"Year-round"
71_221,"Fuller's London Porter","Fuller Smith & Turner PLC","/beer/profile/71/221/","English Porter",93,"outstanding",2,308,95,"world-class",1,168,4.19,10.5,197,215,0,"United Kingdom (England)",5.40,"Year-round"
323_875,"Old Engine Oil","Harviestoun Brewery Ltd.","/beer/profile/323/875/","English Porter",92,"outstanding",1,519,100,"world-class",755,4.14,10.39,122,133,1,"United Kingdom (Scotland)",6.00,"Year-round"
418_1251,"Black Jack Porter","Left Hand Brewing Company","/beer/profile/418/1251/","English Porter",84,"good",1,175,84,"good",486,3.72,11.56,42,131,0,"Colorado,United States",6.80,"Year-round"
423_1262,"Bully! Porter","Boulevard Brewing Co.","/beer/profile/423/1262/","English Porter",85,"very good",1,061,84,"good",518,3.78,12.7,43,69,1,"Missouri,United States",6.00,"Year-round"
35_2684,"Samuel Adams Honey Porter","Boston Beer Company (Samuel Adams)","/beer/profile/35/2684/","English Porter",83,"good",894,85,"very good",634,3.67,13.08,35,14,0,"Massachusetts,United States",5.45,"Rotating"
11036_26788,"People's Porter","Foothills Brewing Company","/beer/profile/11036/26788/","English Porter",87,"very good",694,-,"no score",151,3.85,10.65,27,91,1,"North Carolina,United States",5.80,"Year-round"
450_13086,"General Washington's Tavern Porter","Yards Brewing Co.","/beer/profile/450/13086/","English Porter",86,"very good",668,-,"no score",269,3.82,12.04,29,91,1,"Pennsylvania,United States",7.00,"Year-round"
16105_41839,"Mayflower Porter","Mayflower Brewing Company","/beer/profile/16105/41839/","English Porter",93,"outstanding",616,100,"world-class",233,4.17,9.59,77,71,1,"Massachusetts,United States",5.50,"Year-round"
5062_20897,"Coffee Porter","Meantime Brewing Company Limited","/beer/profile/5062/20897/","English Porter",85,"very good",593,87,"very good",400,3.78,12.96,16,24,1,"United Kingdom (England)",6.00,"Year-round"
296_838,"St. Peter's Old-Style Porter","St. Peter's Brewery Co Ltd","/beer/profile/296/838/","English Porter",87,"very good",561,92,"outstanding",371,3.85,12.99,25,25,0,"United Kingdom (England)",5.10,"Year-round"
7944_20907,"Santa's Butt","Ridgeway Brewing","/beer/profile/7944/20907/","English Porter",78,"okay",430,-,"no score",273,3.39,14.45,8,18,1,"United Kingdom (England)",6.00,"Winter"
5062_25548,"London Porter","Meantime Brewing Company Limited","/beer/profile/5062/25548/","English Porter",89,"very good",428,-,"no score",279,4,10.75,32,34,1,"United Kingdom (England)",6.50,"Year-round"
454_4017,"Arcadia London Porter","Arcadia Brewing Company","/beer/profile/454/4017/","English Porter",88,"very good",422,-,"no score",273,3.91,12.79,24,16,0,"Michigan,United States",7.20,"Fall"
2216_63971,"Zwet.Be","Brouwerij Drie Fonteinen","/beer/profile/2216/63971/","English Porter",86,"very good",413,-,"no score",102,3.84,10.42,22,43,2,"Belgium",7.00,"Year-round"
13667_70540,"Boxcarr Pumpkin Porter","Starr Hill Brewery","/beer/profile/13667/70540/","English Porter",76,"okay",403,-,"no score",99,3.33,16.22,5,43,0,"Virginia,United States",5.20,"Fall"
