beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
209_754,"Guinness Draught","Guinness Ltd.","/beer/profile/209/754/","Irish Dry Stout",80,"good",6,534,70,"okay",2,157,3.52,19.89,96,1,278,1,"Ireland",4.20,"Year-round"
209_650,"Guinness Extra Stout (Original)","Guinness Ltd.","/beer/profile/209/650/","Irish Dry Stout",84,"good",3,638,88,"very good",1,288,3.7,15.14,70,584,1,"Ireland",6.00,"Year-round"
240_703,"Murphy's Irish Stout","Murphy Brewery Ireland Limited","/beer/profile/240/703/","Irish Dry Stout",84,"good",2,111,93,"outstanding",963,3.74,14.44,74,201,0,"Ireland",4.00,"Year-round"
112_408,"Old #38 Stout","North Coast Brewing Co.","/beer/profile/112/408/","Irish Dry Stout",86,"very good",1,151,90,"outstanding",646,3.83,10.97,48,43,1,"California,United States",5.60,"Year-round"
347_3338,"Cadillac Mountain Stout","Bar Harbor Brewing Company","/beer/profile/347/3338/","Irish Dry Stout",93,"outstanding",1,115,98,"world-class",676,4.19,9.31,234,110,7,"Maine,United States",6.70,"Year-round"
646_1751,"O'Hara's Irish Stout","Carlow Brewing Company","/beer/profile/646/1751/","Irish Dry Stout",87,"very good",825,93,"outstanding",467,3.86,12.18,58,55,0,"Ireland",4.30,"Year-round"
26_7560,"Black Sun Stout","3 Floyds Brewing Co.","/beer/profile/26/7560/","Irish Dry Stout",90,"outstanding",822,-,"no score",464,4.03,11.41,208,85,5,"Indiana,United States",6.50,"Winter"
358_927,"Beamish Irish Stout","Beamish & Crawford Plc.","/beer/profile/358/927/","Irish Dry Stout",86,"very good",741,87,"very good",546,3.8,13.16,62,15,0,"Ireland",4.10,"Year-round"
200_1520,"Black Hawk Stout","Mendocino Brewing Company","/beer/profile/200/1520/","Irish Dry Stout",80,"good",635,84,"good",430,3.51,13.39,12,27,0,"United States",5.20,"Year-round"
45_78521,"Brooklyn Dry Irish Stout","Brooklyn Brewery","/beer/profile/45/78521/","Irish Dry Stout",81,"good",600,80,"good",146,3.57,12.61,18,67,0,"New York,United States",4.70,"Rotating"
139_291,"Shipyard Blue Fin Stout","Shipyard Brewing Co.","/beer/profile/139/291/","Irish Dry Stout",81,"good",507,87,"very good",248,3.57,14.57,19,34,0,"Maine,United States",4.70,"Year-round"
209_34781,"Guinness Draught  Extra Cold","Guinness Ltd.","/beer/profile/209/34781/","Irish Dry Stout",81,"good",501,-,"no score",167,3.55,19.44,9,81,0,"Ireland",4.20,"Year-round"
345_35644,"Donnybrook Stout","Victory Brewing Company","/beer/profile/345/35644/","Irish Dry Stout",83,"good",458,-,"no score",146,3.66,14.75,9,24,0,"Pennsylvania,United States",3.70,"Year-round"
13667_29995,"Dark Starr Stout","Starr Hill Brewery","/beer/profile/13667/29995/","Irish Dry Stout",80,"good",452,-,"no score",204,3.53,13.88,7,25,0,"Virginia,United States",4.20,"Year-round"
2243_5686,"Oyster Stout","The Porterhouse Brewing Company","/beer/profile/2243/5686/","Irish Dry Stout",83,"good",404,84,"good",221,3.68,14.95,19,26,0,"Ireland",5.20,"Year-round"
