beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
35_76571,"Samuel Adams Alpine Spring","Boston Beer Company (Samuel Adams)","/beer/profile/35/76571/","Kellerbier / Zwickelbier",80,"good",2,514,80,"good",573,3.5,15.14,48,206,0,"Massachusetts,United States",5.50,"Spring"
590_28268,"Yokel","New Glarus Brewing Company","/beer/profile/590/28268/","Kellerbier / Zwickelbier",87,"very good",407,92,"outstanding",177,3.88,11.86,23,30,1,"Wisconsin,United States",4.20,"Year-round"
13371_31549,"KillaPilz","Voodoo Brewing Company","/beer/profile/13371/31549/","Kellerbier / Zwickelbier",89,"very good",374,90,"outstanding",200,3.99,11.03,95,29,2,"Pennsylvania,United States",7.50,"Rotating"
428_2412,"Mahr's Ungespundet-hefetrüb","Mahrs-Bräu","/beer/profile/428/2412/","Kellerbier / Zwickelbier",89,"very good",279,95,"world-class",165,3.98,11.56,23,10,0,"Germany",5.20,"Year-round"
412_26383,"Mönchshof Kellerbier (Kellerbräu)","Kulmbacher Brauerei AG","/beer/profile/412/26383/","Kellerbier / Zwickelbier",86,"very good",266,85,"very good",156,3.84,11.46,10,8,0,"Germany",5.40,"Year-round"
24764_70188,"Zwickel","Urban Chestnut Brewing Company","/beer/profile/24764/70188/","Kellerbier / Zwickelbier",86,"very good",215,-,"no score",40,3.8,12.89,14,30,0,"Missouri,United States",5.20,"Year-round"
3620_1191,"Tuppers' Hop Pocket Pils (Keller Pils)","Tuppers' Hop Pocket Brewing Company","/beer/profile/3620/1191/","Kellerbier / Zwickelbier",89,"very good",196,99,"world-class",168,3.99,11.28,25,3,0,"Maryland,United States",5.00,"Year-round"
76_9784,"Hacker-Pschorr Munchner Kellerbier (Anno 1417)","Hacker-Pschorr Bräu GmbH","/beer/profile/76/9784/","Kellerbier / Zwickelbier",85,"very good",186,-,"no score",92,3.77,11.94,14,17,0,"Germany",5.50,"Year-round"
295_818,"St. Georgenbräu  Keller Bier","St. Georgenbräu","/beer/profile/295/818/","Kellerbier / Zwickelbier",87,"very good",175,89,"very good",154,3.87,12.4,11,2,0,"Germany",4.90,"Year-round"
455_50647,"Creemore Springs Kellerbier","Creemore Springs Brewery Limited","/beer/profile/455/50647/","Kellerbier / Zwickelbier",87,"very good",171,-,"no score",97,3.88,12.37,11,6,0,"Ontario,Canada",5.00,"Year-round"
6143_25279,"Moosbacher Kellerbier","Private Landbrauerei Scheuerer","/beer/profile/6143/25279/","Kellerbier / Zwickelbier",81,"good",150,-,"no score",118,3.56,12.92,4,6,0,"Germany",5.20,"Year-round"
16829_44415,"Aktien Zwick'l Kellerbier","Bayreuther Bierbrauerei","/beer/profile/16829/44415/","Kellerbier / Zwickelbier",88,"very good",120,92,"outstanding",48,3.95,10.89,16,13,0,"Germany",5.30,"Year-round"
341_51473,"Columbus Summer Teeth","Columbus Brewing Company","/beer/profile/341/51473/","Kellerbier / Zwickelbier",85,"very good",116,-,"no score",37,3.76,12.5,6,6,0,"Ohio,United States",5.00,"Summer"
11056_51541,"Série Signature Kellerbier","Les Trois Mousquetaires","/beer/profile/11056/51541/","Kellerbier / Zwickelbier",88,"very good",112,-,"no score",75,3.92,10.46,6,6,0,"Quebec,Canada",5.50,"Year-round"
6754_59217,"Zeppelin Bier","Brauerei Max Leibinger GmbH","/beer/profile/6754/59217/","Kellerbier / Zwickelbier",78,"okay",93,-,"no score",34,3.4,15.88,2,12,0,"Germany",5.20,"Year-round"
7282_53989,"Original Munchner Hochzeitsbier Von 1810","Brauerei Hofstetten Krammer GmbH & Co. KG","/beer/profile/7282/53989/","Kellerbier / Zwickelbier",86,"very good",89,-,"no score",41,3.83,10.18,4,3,0,"Austria",6.30,"Rotating"
5709_65663,"Arcobräu Zwickl Lager","Arcobräu Gräfliches Brauhaus","/beer/profile/5709/65663/","Kellerbier / Zwickelbier",87,"very good",87,93,"outstanding",34,3.88,11.6,10,3,0,"Germany",5.20,"Year-round"
2216_28244,"Beersel Lager","Brouwerij Drie Fonteinen","/beer/profile/2216/28244/","Kellerbier / Zwickelbier",87,"very good",83,-,"no score",43,3.9,10.77,10,7,1,"Belgium",5.20,"Year-round"
428_78313,"Mastodon","Mahrs-Bräu","/beer/profile/428/78313/","Kellerbier / Zwickelbier",83,"good",65,-,"no score",24,3.69,11.38,11,9,1,"Germany",5.20,"Year-round"
5581_29765,"Veldensteiner Zwick'l","Kaiser Bräu GmbH & Co KG","/beer/profile/5581/29765/","Kellerbier / Zwickelbier",82,"good",63,-,"no score",35,3.63,16.25,3,2,0,"Germany",5.40,"Year-round"
7282_50377,"Kubelbier","Brauerei Hofstetten Krammer GmbH & Co. KG","/beer/profile/7282/50377/","Kellerbier / Zwickelbier",85,"very good",63,-,"no score",46,3.8,9.74,2,1,0,"Austria",5.60,"Year-round"
817_43145,"Paracelsus Zwickl","Stieglbrauerei zu Salzburg GmbH","/beer/profile/817/43145/","Kellerbier / Zwickelbier",90,"outstanding",60,-,"no score",30,4.06,10.34,14,5,0,"Austria",5.00,"Year-round"
4686_38046,"Hofbräu Münchner Sommer Naturtrüb","Hofbräuhaus München","/beer/profile/4686/38046/","Kellerbier / Zwickelbier",83,"good",60,-,"no score",22,3.64,12.64,4,3,0,"Germany",5.10,"Summer"
35016_123419,"Luchesa Lager","Oasis Texas Brewing Company","/beer/profile/35016/123419/","Kellerbier / Zwickelbier",80,"good",48,-,"no score",7,3.47,13.83,0,5,0,"Texas,United States",4.80,"Year-round"
4553_21959,"Fürsten Zwickel","Fürst Wallerstein Brauhaus","/beer/profile/4553/21959/","Kellerbier / Zwickelbier",85,"very good",44,-,"no score",14,3.77,11.67,5,4,0,"Germany",4.70,"Year-round"
5983_21625,"Mönchsambacher Lager","Brauerei Zehendner GmbH","/beer/profile/5983/21625/","Kellerbier / Zwickelbier",93,"outstanding",41,-,"no score",24,4.3,10.93,77,2,0,"Germany",5.50,"Year-round"
39_9599,"Ayinger Liebhard's Kellerbier","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","/beer/profile/39/9599/","Kellerbier / Zwickelbier",86,"very good",38,-,"no score",22,3.85,9.87,6,1,0,"Germany",4.90,"Rotating"
959_68763,"Ziggy Zoggy Summer Lager","Silver City Brewing Co.","/beer/profile/959/68763/","Kellerbier / Zwickelbier",86,"very good",36,-,"no score",12,3.86,11.66,4,2,0,"Washington,United States",5.00,"Rotating"
23201_77952,"Kellerbier Kölsch","Mad Fox Brewing Company","/beer/profile/23201/77952/","Kellerbier / Zwickelbier",84,"good",35,-,"no score",10,3.7,11.08,0,2,0,"Virginia,United States",4.40,"Rotating"
