beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
252_760,"Weihenstephaner Kristallweissbier","Bayerische Staatsbrauerei Weihenstephan","/beer/profile/252/760/","Kristalweizen",90,"outstanding",1,570,94,"outstanding",754,4.03,10.42,87,108,0,"Germany",5.40,"Year-round"
710_2958,"Leinenkugel's Honey Weiss","Jacob Leinenkugel Brewing Company","/beer/profile/710/2958/","Kristalweizen",70,"okay",1,446,80,"good",458,3,19.67,16,140,0,"Wisconsin,United States",4.90,"Year-round"
590_72382,"Laughing Fox","New Glarus Brewing Company","/beer/profile/590/72382/","Kristalweizen",87,"very good",330,94,"outstanding",115,3.86,13.99,45,13,0,"Wisconsin,United States",4.50,"Fall"
703_3653,"Erdinger Weissbier Kristallklar","Erdinger Weissbräu","/beer/profile/703/3653/","Kristalweizen",81,"good",248,87,"very good",126,3.58,12.85,13,18,0,"Germany",5.30,"Year-round"
129_372,"Tucher Kristall Weizen","Brauerei Tucher Brau","/beer/profile/129/372/","Kristalweizen",85,"very good",190,91,"outstanding",138,3.76,11.7,10,10,0,"Germany",5.10,"Year-round"
391_2046,"Big Rock Grasshopper Wheat Ale","Big Rock Brewery","/beer/profile/391/2046/","Kristalweizen",71,"okay",184,-,"no score",95,3.06,15.03,7,18,0,"Alberta,Canada",5.00,"Year-round"
142_904,"Franziskaner Club-Weisse Kristalklar","Spaten-Franziskaner-Bräu","/beer/profile/142/904/","Kristalweizen",84,"good",145,-,"no score",94,3.7,12.43,17,8,0,"Germany",5.00,"Year-round"
124_3764,"Paulaner Weissbier Kristallklar","Paulaner Brauerei GmbH & Co. KG","/beer/profile/124/3764/","Kristalweizen",81,"good",78,-,"no score",29,3.55,12.11,4,12,0,"Germany",5.50,"Year-round"
605_38518,"Bayern Dancing Trout Ale","Bayern Brewing, Inc.","/beer/profile/605/38518/","Kristalweizen",76,"okay",69,-,"no score",35,3.28,16.16,0,3,0,"Montana,United States",5.40,"Year-round"
290_4768,"Schöfferhofer Kristallweizen","Binding-Brauerei AG","/beer/profile/290/4768/","Kristalweizen",81,"good",67,-,"no score",37,3.53,14.45,0,3,0,"Germany",5.00,"Year-round"
585_2822,"Maisel's Weisse Kristall","Brauerei Gebrüder Maisel GmbH & Co.","/beer/profile/585/2822/","Kristalweizen",83,"good",59,-,"no score",41,3.64,15.66,3,9,0,"Germany",5.10,"Year-round"
1480_3892,"Redback Beer","Matilda Bay Brewing Co.","/beer/profile/1480/3892/","Kristalweizen",78,"okay",55,-,"no score",40,3.36,16.37,0,4,0,"Australia",4.70,"Year-round"
72_3303,"Schneider Weisse Tap 2 Mein Kristall","Weisses Bräuhaus G. Schneider & Sohn GmbH","/beer/profile/72/3303/","Kristalweizen",86,"very good",53,-,"no score",19,3.84,9.11,9,8,0,"Germany",5.30,"Year-round"
76_873,"Hacker-Pschorr Kristall Weisse","Hacker-Pschorr Bräu GmbH","/beer/profile/76/873/","Kristalweizen",86,"very good",41,95,"world-class",28,3.85,10.65,10,0,0,"Germany",5.50,"Year-round"
