beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
12142_245,"Fraoch Heather Ale","Williams Brothers Brewing Company","/beer/profile/12142/245/","Scottish Gruit / Ancient Herbed Ale",85,"very good",1,072,90,"outstanding",713,3.75,13.07,49,53,0,"United Kingdom (Scotland)",5.00,"Year-round"
12142_243,"Alba Scots Pine Ale","Williams Brothers Brewing Company","/beer/profile/12142/243/","Scottish Gruit / Ancient Herbed Ale",85,"very good",646,92,"outstanding",468,3.78,14.29,30,22,0,"United Kingdom (Scotland)",7.50,"Year-round"
64_102896,"Kvasir","Dogfish Head Brewery","/beer/profile/64/102896/","Scottish Gruit / Ancient Herbed Ale",84,"good",531,87,"very good",80,3.72,12.1,26,71,4,"Delaware,United States",10.00,"Rotating"
12142_1555,"Ebulum Elderberry Black Ale","Williams Brothers Brewing Company","/beer/profile/12142/1555/","Scottish Gruit / Ancient Herbed Ale",86,"very good",507,84,"good",360,3.8,11.32,34,14,0,"United Kingdom (Scotland)",6.50,"Year-round"
12142_244,"Grozet","Williams Brothers Brewing Company","/beer/profile/12142/244/","Scottish Gruit / Ancient Herbed Ale",80,"good",441,88,"very good",325,3.52,13.64,11,8,0,"United Kingdom (Scotland)",5.00,"Year-round"
12142_1556,"Kelpie Seaweed Ale","Williams Brothers Brewing Company","/beer/profile/12142/1556/","Scottish Gruit / Ancient Herbed Ale",82,"good",399,84,"good",279,3.62,13.81,19,16,0,"United Kingdom (Scotland)",4.40,"Year-round"
23495_44016,"Professor Fritz Briem 13th Century Grut Bier","Professor Fritz Briem","/beer/profile/23495/44016/","Scottish Gruit / Ancient Herbed Ale",86,"very good",278,100,"world-class",160,3.82,15.71,38,8,0,"Germany",4.60,"Year-round"
637_73367,"Posca Rustica","Brasserie Dupont sprl","/beer/profile/637/73367/","Scottish Gruit / Ancient Herbed Ale",90,"outstanding",225,-,"no score",98,4.02,9.7,34,17,1,"Belgium",8.00,"Rotating"
19866_98032,"Special Herbs (Seasonal)","Upright Brewing Company","/beer/profile/19866/98032/","Scottish Gruit / Ancient Herbed Ale",97,"world-class",144,-,"no score",17,4.4,6.36,90,17,3,"Oregon,United States",5.70,"Summer"
15435_41072,"Bog Water","Beau's All Natural Brewing Company","/beer/profile/15435/41072/","Scottish Gruit / Ancient Herbed Ale",83,"good",92,-,"no score",41,3.66,11.75,5,10,0,"Ontario,Canada",6.60,"Winter"
14_16083,"Weekapaug Gruit Ale","Cambridge Brewing Company","/beer/profile/14/16083/","Scottish Gruit / Ancient Herbed Ale",84,"good",84,93,"outstanding",38,3.73,15.82,13,6,0,"Massachusetts,United States",5.00,"Rotating"
514_4897,"Jopen Koyt","Jopen Bier BV Haarlem","/beer/profile/514/4897/","Scottish Gruit / Ancient Herbed Ale",89,"very good",75,-,"no score",50,4.01,10.72,11,6,0,"Netherlands",8.50,"Year-round"
31540_119757,"Fleur Desay","de Garde Brewing","/beer/profile/31540/119757/","Scottish Gruit / Ancient Herbed Ale",96,"world-class",73,-,"no score",5,4.43,7,30,10,2,"Oregon,United States",6.30,"Rotating"
14_84578,"Heather Ale","Cambridge Brewing Company","/beer/profile/14/84578/","Scottish Gruit / Ancient Herbed Ale",81,"good",72,-,"no score",15,3.54,15.54,0,4,0,"Massachusetts,United States",5.00,"Rotating"
22612_61143,"Sacred Gruit Ale","Mountain Town Brewing Co.","/beer/profile/22612/61143/","Scottish Gruit / Ancient Herbed Ale",76,"okay",41,-,"no score",17,3.22,22.67,1,0,0,"Michigan,United States",5.80,"Rotating"
763_42520,"Working For Tips","Moonlight Brewing Company","/beer/profile/763/42520/","Scottish Gruit / Ancient Herbed Ale",89,"very good",32,-,"no score",21,4.03,8.93,6,0,0,"California,United States",5.50,"Rotating"
31540_137653,"Fleur Rose","de Garde Brewing","/beer/profile/31540/137653/","Scottish Gruit / Ancient Herbed Ale",93,"outstanding",28,-,"no score",3,4.33,12.93,13,3,0,"Oregon,United States",6.30,"Limited (brewed once)"
463_3911,"Weekapaug Gruit","Magnolia Pub & Brewery","/beer/profile/463/3911/","Scottish Gruit / Ancient Herbed Ale",88,"very good",25,90,"outstanding",13,3.98,18.09,6,0,0,"California,United States",5.80,"Rotating"
15711_62043,"Farewell Ale","HaandBryggeriet","/beer/profile/15711/62043/","Scottish Gruit / Ancient Herbed Ale",86,"very good",21,-,"no score",14,3.9,8.97,7,0,0,"Norway",7.50,"Year-round"
33376_132001,"Viking Fraoch","D9 Brewing Company","/beer/profile/33376/132001/","Scottish Gruit / Ancient Herbed Ale",93,"outstanding",21,90,"outstanding",5,4.38,8.22,2,3,0,"North Carolina,United States",5.00,"Year-round"
15435_65588,"Wild Oats Series No. 8 - Bog Father Eastern Ontario Gruit","Beau's All Natural Brewing Company","/beer/profile/15435/65588/","Scottish Gruit / Ancient Herbed Ale",86,"very good",18,94,"outstanding",10,3.85,9.35,5,1,0,"Ontario,Canada",8.00,"Rotating"
