beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
72_224,"Schneider Weisse Tap 6 Unser Aventinus","Weisses Bräuhaus G. Schneider & Sohn GmbH","/beer/profile/72/224/","Weizenbock",96,"world-class",3,988,97,"world-class",2,052,4.33,9.7,256,362,6,"Germany",8.20,"Year-round"
252_35625,"Weihenstephaner Vitus","Bayerische Staatsbrauerei Weihenstephan","/beer/profile/252/35625/","Weizenbock",95,"world-class",2,864,90,"outstanding",1,048,4.27,9.37,187,304,5,"Germany",7.70,"Winter"
72_37774,"Schneider Weisse Tap 5 Schneider & Brooklyner Hopfen-Weisse","Weisses Bräuhaus G. Schneider & Sohn GmbH","/beer/profile/72/37774/","Weizenbock",91,"outstanding",1,245,-,"no score",727,4.08,11.03,39,92,0,"Germany",8.20,"Rotating"
345_1008,"Moonglow Weizenbock","Victory Brewing Company","/beer/profile/345/1008/","Weizenbock",91,"outstanding",1,240,98,"world-class",695,4.05,11.11,105,86,0,"Pennsylvania,United States",8.70,"Fall"
39_37192,"Ayinger Weizenbock","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","/beer/profile/39/37192/","Weizenbock",93,"outstanding",700,-,"no score",347,4.19,10.26,71,37,0,"Germany",7.10,"Rotating"
590_40956,"Thumbprint Imperial Weizen","New Glarus Brewing Company","/beer/profile/590/40956/","Weizenbock",90,"outstanding",631,90,"outstanding",342,4.05,12.35,99,49,4,"Wisconsin,United States",9.60,"Rotating"
652_81602,"Local Option Bourbon Barrel-Aged La Petite Mort","Central Waters Brewing Co.","/beer/profile/652/81602/","Weizenbock",91,"outstanding",563,-,"no score",82,4.09,11.25,51,139,14,"Wisconsin,United States",9.05,"Rotating"
703_2646,"Erdinger Weissbier Pikantus","Erdinger Weissbräu","/beer/profile/703/2646/","Weizenbock",87,"very good",415,89,"very good",262,3.87,10.34,24,39,0,"Germany",7.30,"Year-round"
3818_116590,"Goat Boy","Southern Tier Brewing Company","/beer/profile/3818/116590/","Weizenbock",86,"very good",352,-,"no score",68,3.81,11.81,17,49,1,"New York,United States",7.50,"Rotating"
607_2743,"Ramstein Winter Wheat","High Point Brewing Company","/beer/profile/607/2743/","Weizenbock",92,"outstanding",292,100,"world-class",239,4.15,12.29,76,6,0,"New Jersey,United States",9.50,"Winter"
72_74625,"Schneider Weisse Tap X Mein Nelson Sauvin","Weisses Bräuhaus G. Schneider & Sohn GmbH","/beer/profile/72/74625/","Weizenbock",91,"outstanding",268,92,"outstanding",106,4.1,10.49,34,22,3,"Germany",7.30,"Rotating"
383_46105,"Live Oak Primus Weizenbock","Live Oak Brewing Company","/beer/profile/383/46105/","Weizenbock",95,"world-class",223,92,"outstanding",53,4.27,9.84,59,26,0,"Texas,United States",8.30,"Winter"
73_19796,"Great Lakes Glockenspiel Weizenbock","Great Lakes Brewing Co.","/beer/profile/73/19796/","Weizenbock",90,"outstanding",221,-,"no score",158,4.04,9.41,54,6,0,"Ohio,United States",8.00,"Spring"
140_46964,"Weizenbock - Beer Camp #37 (Best Of Beer Camp)","Sierra Nevada Brewing Co.","/beer/profile/140/46964/","Weizenbock",89,"very good",200,-,"no score",103,3.99,11.03,4,2,0,"California,United States",6.80,"Rotating"
63_128350,"Doppel Dinkel Bock","Deschutes Brewery","/beer/profile/63/128350/","Weizenbock",86,"very good",182,-,"no score",42,3.84,12.5,5,31,0,"Oregon,United States",10.50,"Limited (brewed once)"
428_1307,"Der Weisse Bock","Mahrs-Bräu","/beer/profile/428/1307/","Weizenbock",87,"very good",133,95,"world-class",103,3.9,10.26,8,0,0,"Germany",8.50,"Year-round"
